,レース,芝ダ,距離,天候,馬場,着順,馬番,性齢,斤量,騎手,単勝,人気,馬体重,増減
1679,8,ダート,1800m,晴,稍重,7,6,牡5,57,"
北村宏司
",25.4,7,510,-4
1680,8,ダート,1800m,晴,稍重,8,2,牡4,57,"
柴田大知
",6.4,4,504,+2
1681,8,ダート,1800m,晴,稍重,9,16,牝4,55,"
勝浦正樹
",81.2,10,430,-2
1682,8,ダート,1800m,晴,稍重,10,8,牡5,57,"
村田一誠
",464.6,15,484,+1
1683,8,ダート,1800m,晴,稍重,11,11,牡5,57,"
田辺裕信
",44.3,8,490,+2
1684,8,ダート,1800m,晴,稍重,12,4,牝6,55,"
戸崎圭太
",62.5,9,462,-20
1685,8,ダート,1800m,晴,稍重,13,9,セ5,56,"
井上敏樹
",442.4,14,448,-4
1686,8,ダート,1800m,晴,稍重,14,14,牡5,57,"
岩部純二
",548.5,16,494,+4
1687,8,ダート,1800m,晴,稍重,15,10,牝4,55,"
内田博幸
",82.4,11,436,-18
1688,8,ダート,1800m,晴,稍重,16,5,牡4,55,"
武藤雅
",15.6,6,514,-6
1689,9,芝,2500m,晴,良,1,3,牡4,56,"
大野拓弥
",33.4,9,520,-4
1690,9,芝,2500m,晴,良,2,2,牡4,56,"
内田博幸
",4.3,3,492,0
1691,9,芝,2500m,晴,良,3,8,牡5,57,"
松岡正海
",4.0,2,472,+10
1692,9,芝,2500m,晴,良,4,1,牡4,56,"
ミナリク
",6.3,4,494,0
1693,9,芝,2500m,晴,良,5,10,牡5,57,"
Ｍ．デム
",3.7,1,474,-8
1694,9,芝,2500m,晴,良,6,7,牝5,55,"
柴田大知
",26.0,8,426,-4
1695,9,芝,2500m,晴,良,7,4,牡4,56,"
和田竜二
",19.6,7,524,+2
1696,9,芝,2500m,晴,良,8,9,牝4,54,"
戸崎圭太
",7.1,5,546,-2
1697,9,芝,2500m,晴,良,9,6,牡4,56,"
勝浦正樹
",12.6,6,446,0
1698,9,芝,2500m,晴,良,10,5,牡6,57,"
北村宏司
",128.2,10,488,-4
1699,10,ダート,1800m,晴,稍重,1,4,牡4,56,"
横山典弘
",1.6,1,468,+4
1700,10,ダート,1800m,晴,稍重,2,2,牡5,55,"
Ｍ．デム
",4.2,2,504,-2
1701,10,ダート,1800m,晴,稍重,3,14,牡6,56,"
三浦皇成
",6.9,3,482,0
1702,10,ダート,1800m,晴,稍重,4,11,牡5,53,"
ミナリク
",36.7,8,472,-8
1703,10,ダート,1800m,晴,稍重,5,13,牡5,55,"
和田竜二
",28.4,7,474,0
1704,10,ダート,1800m,晴,稍重,6,7,牝6,52,"
田中勝春
",340.5,15,450,+6
1705,10,ダート,1800m,晴,稍重,7,9,牡6,56,"
北村宏司
",64.6,9,484,+4
1706,10,ダート,1800m,晴,稍重,8,3,牡8,53,"
柴田善臣
",239.0,13,490,+14
1707,10,ダート,1800m,晴,稍重,9,16,牡6,54,"
戸崎圭太
",23.6,5,488,-2
1708,10,ダート,1800m,晴,稍重,10,8,牡5,55,"
大野拓弥
",23.7,6,500,+2
1709,10,ダート,1800m,晴,稍重,11,6,牡4,55,"
北村友一
",12.2,4,510,+8
1710,10,ダート,1800m,晴,稍重,12,15,牡8,51,"
杉原誠人
",264.9,14,472,0
1711,10,ダート,1800m,晴,稍重,13,12,牡7,53,"
吉田隼人
",220.6,12,456,-2
1712,10,ダート,1800m,晴,稍重,14,1,牡9,51,"
武藤雅
",405.5,16,498,0
1713,10,ダート,1800m,晴,稍重,15,5,牡6,54,"
内田博幸
",160.5,11,514,+2
1714,10,ダート,1800m,晴,稍重,16,10,牝4,52,"
柴田大知
",77.4,10,442,+2
1715,11,芝,外1200m,晴,良,1,7,牡5,56,"
北村宏司
",31.3,10,504,+6
1716,11,芝,外1200m,晴,良,2,13,牝5,54,"
横山典弘
",5.1,2,526,+2
1717,11,芝,外1200m,晴,良,3,10,牡4,56,"
Ｍ．デム
",5.0,1,510,-8
1718,11,芝,外1200m,晴,良,4,9,牡7,56,"
ミナリク
",9.8,6,474,-4
1719,11,芝,外1200m,晴,良,5,4,牡5,56,"
戸崎圭太
",6.5,4,466,+6
1720,11,芝,外1200m,晴,良,6,15,牝4,55,"
和田竜二
",5.1,3,474,-6
1721,11,芝,外1200m,晴,良,7,16,牡5,56,"
三浦皇成
",31.4,11,460,-6
1722,11,芝,外1200m,晴,良,8,12,牡7,56,"
森一馬
",26.9,9,436,-8
1723,11,芝,外1200m,晴,良,9,1,牡6,56,"
国分優作
",42.3,13,454,-4
1724,11,芝,外1200m,晴,良,10,8,牝4,54,"
吉田隼人
",13.8,7,446,-4
1725,11,芝,外1200m,晴,良,11,11,牡10,57,"
大野拓弥
",18.9,8,518,+2
1726,11,芝,外1200m,晴,良,12,5,牝4,54,"
北村友一
",37.3,12,494,+2
1727,11,芝,外1200m,晴,良,13,2,牡8,56,"
西田雄一
",102.1,15,480,-4
1728,11,芝,外1200m,晴,良,14,6,牡9,56,"
内田博幸
",505.4,16,510,+9
1729,11,芝,外1200m,晴,良,15,14,セ10,56,"
田辺裕信
",62.7,14,488,+4
1730,11,芝,外1200m,晴,良,16,3,牝6,54,"
津村明秀
",9.4,5,476,0
1731,12,ダート,1200m,晴,稍重,1,9,牡6,57,"
柴田大知
",29.3,8,528,+14
1732,12,ダート,1200m,晴,稍重,2,1,牡6,55,"
武藤雅
",7.0,5,502,-18
1733,12,ダート,1200m,晴,稍重,3,14,牝5,54,"
井上敏樹
",17.7,7,496,+2
1734,12,ダート,1200m,晴,稍重,4,5,牡6,57,"
ミナリク
",47.1,10,492,-3
1735,12,ダート,1200m,晴,稍重,5,16,牡6,57,"
Ｍ．デム
",3.8,1,524,-4
1736,12,ダート,1200m,晴,稍重,6,6,牡5,57,"
木幡初広
",6.6,4,476,-8
1737,12,ダート,1200m,晴,稍重,7,3,牡6,57,"
武士沢友
",265.0,16,516,-2
1738,12,ダート,1200m,晴,稍重,8,12,牡4,57,"
横山典弘
",4.2,2,494,-4
1739,12,ダート,1200m,晴,稍重,9,10,牡4,57,"
柴田善臣
",174.4,15,476,+6
1740,12,ダート,1200m,晴,稍重,10,7,牡5,57,"
大野拓弥
",48.0,11,496,-4
1741,12,ダート,1200m,晴,稍重,11,2,牡6,57,"
戸崎圭太
",59.5,13,426,-2
1742,12,ダート,1200m,晴,稍重,12,11,牡5,57,"
田辺裕信
",12.0,6,500,-8
1743,12,ダート,1200m,晴,稍重,13,4,牝5,55,"
三浦皇成
",31.2,9,454,-8
1744,12,ダート,1200m,晴,稍重,14,8,牝4,52,"
野中悠太
",148.2,14,438,-10
1745,12,ダート,1200m,晴,稍重,15,15,牡5,57,"
松岡正海
",6.0,3,490,0
1746,12,ダート,1200m,晴,稍重,16,13,牝6,55,"
内田博幸
",49.5,12,470,-18
1747,1,ダート,1800m,晴,良,1,5,牝3,54,"
松岡正海
",7.5,4,450,+2
1748,1,ダート,1800m,晴,良,2,11,牡3,56,"
北村宏司
",100.3,13,472,-4
1749,1,ダート,1800m,晴,良,3,8,牡3,56,"
藤岡佑介
",36.6,7,464,-6
1750,1,ダート,1800m,晴,良,4,1,牡3,56,"
内田博幸
",1.8,1,482,+2
1751,1,ダート,1800m,晴,良,5,9,牡3,56,"
柴田善臣
",77.5,11,470,-6
1752,1,ダート,1800m,晴,良,6,10,牡3,56,"
江田照男
",67.3,9,454,-6
1753,1,ダート,1800m,晴,良,7,16,牡3,56,"
丸田恭介
",439.3,16,500,0
1754,1,ダート,1800m,晴,良,8,6,牝3,54,"
勝浦正樹
",48.4,8,444,0
1755,1,ダート,1800m,晴,良,9,2,牡3,56,"
田中勝春
",346.9,15,480,0
1756,1,ダート,1800m,晴,良,10,13,牡3,56,"
田辺裕信
",6.3,3,448,0
1757,1,ダート,1800m,晴,良,11,12,牡3,56,"
三浦皇成
",5.3,2,494,-2
1758,1,ダート,1800m,晴,良,12,15,牡3,56,"
柴田大知
",12.2,5,484,+8
1759,1,ダート,1800m,晴,良,13,4,牝3,54,"
岩部純二
",89.5,12,492,-4
1760,1,ダート,1800m,晴,良,14,3,牡3,56,"
横山典弘
",68.8,10,478,+4
1761,1,ダート,1800m,晴,良,15,7,牡3,56,"
蛯名正義
",28.8,6,508,-14
1762,1,ダート,1800m,晴,良,16,14,牡3,53,"
野中悠太
",179.8,14,494,-18
1763,2,ダート,1200m,晴,良,1,14,牡3,56,"
宮崎北斗
",4.3,2,484,-2
1764,2,ダート,1200m,晴,良,2,10,牡3,56,"
柴田大知
",4.9,3,432,0
1765,2,ダート,1200m,晴,良,3,12,牡3,56,"
北村宏司
",7.9,4,502,-10
1766,2,ダート,1200m,晴,良,4,15,牡3,56,"
戸崎圭太
",2.3,1,436,+2
1767,2,ダート,1200m,晴,良,5,8,牡3,56,"
三浦皇成
",26.4,6,462,-10
1768,2,ダート,1200m,晴,良,6,11,牡3,56,"
松田大作
",61.8,11,490,+26
1769,2,ダート,1200m,晴,良,7,3,牡3,56,"
横山典弘
",11.4,5,482,-2
1770,2,ダート,1200m,晴,良,8,6,牡3,53,"
野中悠太
",41.9,8,434,+2
1771,2,ダート,1200m,晴,良,9,9,セ3,56,"
内田博幸
",80.0,12,422,-4
1772,2,ダート,1200m,晴,良,10,16,牝3,52,"
武藤雅
",48.1,9,478,-8
1773,2,ダート,1200m,晴,良,11,2,牝3,54,"
勝浦正樹
",403.8,15,440,-4
1774,2,ダート,1200m,晴,良,12,13,牡3,56,"
江田照男
",88.9,13,458,-4
1775,2,ダート,1200m,晴,良,13,5,牡3,56,"
杉原誠人
",443.4,16,440,-8
1776,2,ダート,1200m,晴,良,14,1,セ3,56,"
ミナリク
",29.9,7,452,0
1777,2,ダート,1200m,晴,良,15,7,牝3,54,"
津村明秀
",287.1,14,482,+6
1778,2,ダート,1200m,晴,良,16,4,牝3,54,"
長岡禎仁
",57.9,10,410,0
1779,3,ダート,1800m,晴,良,1,3,牡3,56,"
江田照男
",41.1,11,530,0
1780,3,ダート,1800m,晴,良,2,14,牝3,54,"
藤岡佑介
",10.2,6,464,0
1781,3,ダート,1800m,晴,良,3,15,牡3,56,"
松岡正海
",6.2,3,476,0
1782,3,ダート,1800m,晴,良,4,13,牡3,56,"
内田博幸
",9.4,5,516,0
1783,3,ダート,1800m,晴,良,5,2,牝3,54,"
大野拓弥
",4.7,2,510,0
1784,3,ダート,1800m,晴,良,6,16,牡3,56,"
西村太一
",52.8,12,482,0
1785,3,ダート,1800m,晴,良,7,12,牝3,54,"
柴田大知
",26.0,8,470,0
1786,3,ダート,1800m,晴,良,8,10,牡3,56,"
津村明秀
",12.0,7,502,0
1787,3,ダート,1800m,晴,良,9,8,牝3,54,"
長岡禎仁
",55.7,13,458,0
1788,3,ダート,1800m,晴,良,10,4,牝3,54,"
福永祐一
",3.7,1,480,0
1789,3,ダート,1800m,晴,良,11,7,牝3,54,"
石橋脩
",31.1,9,426,0
1790,3,ダート,1800m,晴,良,12,6,牡3,56,"
菅原隆一
",7.1,4,538,0
1791,3,ダート,1800m,晴,良,13,1,牡3,56,"
武士沢友
",85.5,14,500,0
1792,3,ダート,1800m,晴,良,14,9,牝3,54,"
伴啓太
",36.3,10,468,0
1793,3,ダート,1800m,晴,良,15,11,牝3,54,"
丸田恭介
",178.6,16,454,0
1794,5,芝,1800m,晴,良,1,14,牝3,54,"
松岡正海
",7.0,4,438,+2
1795,5,芝,1800m,晴,良,2,9,牝3,54,"
石橋脩
",4.1,2,416,-12
1796,5,芝,1800m,晴,良,3,6,牝3,54,"
ルメール
",1.9,1,418,-2
1797,5,芝,1800m,晴,良,4,5,牝3,54,"
福永祐一
",5.0,3,398,+2
1798,5,芝,1800m,晴,良,5,12,牝3,54,"
内田博幸
",88.0,10,418,-6
1799,5,芝,1800m,晴,良,6,15,牝3,54,"
横山典弘
",66.9,9,464,+2
1800,5,芝,1800m,晴,良,7,4,牝3,54,"
北村宏司
",64.3,8,436,-12
1801,5,芝,1800m,晴,良,8,1,牝3,54,"
大野拓弥
",30.5,6,456,0
1802,5,芝,1800m,晴,良,9,10,牝3,54,"
津村明秀
",35.4,7,424,-10
1803,5,芝,1800m,晴,良,10,8,牝3,54,"
江田照男
",126.0,12,470,0
1804,5,芝,1800m,晴,良,11,11,牝3,54,"
勝浦正樹
",113.1,11,454,+6
1805,5,芝,1800m,晴,良,12,2,牝3,54,"
戸崎圭太
",25.9,5,442,+6
1806,5,芝,1800m,晴,良,13,3,牝3,54,"
柴田大知
",336.1,14,420,-6
1807,5,芝,1800m,晴,良,14,13,牝3,52,"
武藤雅
",453.8,15,426,-6
1808,5,芝,1800m,晴,良,15,7,牝3,54,"
田中勝春
",140.6,13,414,+4
1809,6,芝,外1600m,晴,良,1,12,牡3,56,"
ルメール
",2.2,1,498,-4
1810,6,芝,外1600m,晴,良,2,6,牡3,56,"
藤岡佑介
",3.3,2,462,-8
1811,6,芝,外1600m,晴,良,3,1,牡3,54,"
武藤雅
",7.9,4,470,-2
1812,6,芝,外1600m,晴,良,4,5,牡3,56,"
大野拓弥
",6.4,3,496,+6
1813,6,芝,外1600m,晴,良,5,11,牝3,54,"
田辺裕信
",8.1,5,486,-8
1814,6,芝,外1600m,晴,良,6,7,牝3,54,"
石橋脩
",192.4,10,408,-12
1815,6,芝,外1600m,晴,良,7,3,牡3,56,"
横山和生
",30.5,7,482,-4
1816,6,芝,外1600m,晴,良,8,9,牝3,54,"
松岡正海
",330.4,11,466,+2
1817,6,芝,外1600m,晴,良,9,4,牡3,56,"
丸田恭介
",663.0,13,498,-2
1818,6,芝,外1600m,晴,良,10,2,牡3,56,"
北村宏司
",29.3,6,436,-10
1819,6,芝,外1600m,晴,良,11,10,牝3,54,"
柴田善臣
",55.9,8,404,-14
1820,6,芝,外1600m,晴,良,12,13,牡3,56,"
ミナリク
",110.9,9,446,-5
1821,6,芝,外1600m,晴,良,13,14,牝3,51,"
野中悠太
",537.8,12,460,0
1822,6,芝,外1600m,晴,良,14,8,牝3,54,"
岩部純二
",738.4,14,432,-12
1823,7,ダート,1200m,晴,良,1,6,牡4,57,"
内田博幸
",3.5,1,484,-6
1824,7,ダート,1200m,晴,良,2,12,牡4,57,"
横山典弘
",8.4,5,492,0
1825,7,ダート,1200m,晴,良,3,16,牡4,57,"
木幡初広
",7.9,4,508,-2
1826,7,ダート,1200m,晴,良,4,11,牝5,55,"
北村宏司
",4.3,3,502,+6
1827,7,ダート,1200m,晴,良,5,4,牡5,57,"
戸崎圭太
",34.5,8,512,+2
1828,7,ダート,1200m,晴,良,6,14,牝5,55,"
田中勝春
",34.8,9,468,-10
1829,7,ダート,1200m,晴,良,7,1,牡5,57,"
藤岡佑介
",45.5,10,482,+6
1830,7,ダート,1200m,晴,良,8,3,牝5,55,"
江田照男
",179.9,13,490,-6
1831,7,ダート,1200m,晴,良,9,8,牝4,55,"
石橋脩
",13.5,6,486,-2
1832,7,ダート,1200m,晴,良,10,9,牡5,57,"
三浦皇成
",19.6,7,522,+2
1833,7,ダート,1200m,晴,良,11,13,セ5,57,"
丸田恭介
",248.6,14,458,-6
1834,7,ダート,1200m,晴,良,12,5,牡5,57,"
ルメール
",3.9,2,548,+2
1835,7,ダート,1200m,晴,良,13,2,牡4,54,"
野中悠太
",166.6,12,458,+8
1836,7,ダート,1200m,晴,良,14,7,牝4,55,"
長岡禎仁
",372.1,15,420,-2
1837,7,ダート,1200m,晴,良,15,10,牡5,55,"
武藤雅
",497.3,16,502,0
1838,7,ダート,1200m,晴,良,16,15,セ4,57,"
田辺裕信
",49.1,11,502,+4
1839,8,ダート,1800m,晴,良,1,6,牝4,52,"
野中悠太
",3.3,2,474,-8
1840,8,ダート,1800m,晴,良,2,7,牝5,55,"
柴田大知
",19.6,7,460,-6
1841,8,ダート,1800m,晴,良,3,3,牝4,55,"
津村明秀
",6.1,3,468,-8
1842,8,ダート,1800m,晴,良,4,11,牝6,55,"
田中勝春
",41.5,10,546,-8
1843,8,ダート,1800m,晴,良,5,9,牝5,55,"
藤岡佑介
",16.5,6,464,-6
1844,8,ダート,1800m,晴,良,6,8,牝5,55,"
勝浦正樹
",28.2,9,452,-4
1845,8,ダート,1800m,晴,良,7,1,牝5,55,"
田辺裕信
",45.9,11,464,-6
1846,8,ダート,1800m,晴,良,8,10,牝4,55,"
内田博幸
",12.1,5,482,-2
1847,8,ダート,1800m,晴,良,9,4,牝6,55,"
大野拓弥
",84.6,13,462,0
1848,8,ダート,1800m,晴,良,10,14,牝5,53,"
武藤雅
",147.3,14,420,-4
1849,8,ダート,1800m,晴,良,11,12,牝4,55,"
ミナリク
",20.8,8,494,0
1850,8,ダート,1800m,晴,良,12,2,牝6,55,"
丸田恭介
",72.3,12,528,-4
1851,8,ダート,1800m,晴,良,13,13,牝4,55,"
戸崎圭太
",2.9,1,500,+4
1852,8,ダート,1800m,晴,良,14,5,牝5,55,"
三浦皇成
",10.7,4,540,+6
1853,9,芝,1800m,晴,良,1,4,牡7,57,"
川田将雅
",4.5,3,496,+2
1854,9,芝,1800m,晴,良,2,10,牡4,57,"
蛯名正義
",4.0,2,480,-4
1855,9,芝,1800m,晴,良,3,6,牝4,55,"
ルメール
",3.6,1,472,0
1856,9,芝,1800m,晴,良,4,7,牡5,57,"
田辺裕信
",4.9,4,462,+2
1857,9,芝,1800m,晴,良,5,5,牝5,55,"
松岡正海
",24.5,8,472,-8
1858,9,芝,1800m,晴,良,6,8,セ6,57,"
丸田恭介
",13.1,6,506,+4
1859,9,芝,1800m,晴,良,7,1,牡5,57,"
大野拓弥
",18.2,7,472,-6
1860,9,芝,1800m,晴,良,8,2,牡7,57,"
松田大作
",40.4,9,484,+4
1861,9,芝,1800m,晴,良,8,3,牡6,57,"
柴田大知
",65.4,10,490,-2
1862,9,芝,1800m,晴,良,10,9,牝4,55,"
三浦皇成
",11.1,5,540,-4
1863,10,ダート,1800m,晴,良,1,4,牡6,57,"
大野拓弥
",3.6,1,536,+4
1864,10,ダート,1800m,晴,良,2,6,牡7,56,"
松岡正海
",35.1,10,526,+2
1865,10,ダート,1800m,晴,良,3,10,牡5,56,"
戸崎圭太
",4.7,3,480,+2
1866,10,ダート,1800m,晴,良,4,15,牡6,57,"
三浦皇成
",13.7,6,508,+30
1867,10,ダート,1800m,晴,良,5,12,牡7,56,"
内田博幸
",77.6,13,484,+12
1868,10,ダート,1800m,晴,良,6,14,牡6,57,"
川田将雅
",26.2,8,476,-6
1869,10,ダート,1800m,晴,良,7,16,牡5,57,"
柴田大知
",4.2,2,496,+12
1870,10,ダート,1800m,晴,良,8,3,牡7,56,"
北村宏司
",9.5,5,496,+2
1871,10,ダート,1800m,晴,良,9,9,牡7,56,"
武藤雅
",159.5,15,478,-2
1872,10,ダート,1800m,晴,良,10,7,牡5,56,"
田辺裕信
",16.5,7,470,-2
1873,10,ダート,1800m,晴,良,11,11,セ6,56,"
横山典弘
",38.6,11,476,-6
1874,10,ダート,1800m,晴,良,12,5,牡4,56,"
藤岡佑介
",8.7,4,532,-2
1875,10,ダート,1800m,晴,良,13,1,牡7,56,"
江田照男
",140.2,14,488,-6
1876,10,ダート,1800m,晴,良,14,2,牡9,56,"
田中勝春
",163.2,16,512,-4
1877,10,ダート,1800m,晴,良,15,8,牡6,57,"
福永祐一
",26.3,9,520,-1
1878,10,ダート,1800m,晴,良,16,13,牡7,57,"
津村明秀
",63.5,12,502,+12
1879,11,芝,2000m,晴,良,1,9,牡3,56,"
川田将雅
",1.8,1,498,+8
1880,11,芝,2000m,晴,良,2,8,牡3,56,"
福永祐一
",3.6,2,450,-4
1881,11,芝,2000m,晴,良,3,3,牡3,56,"
武豊
",8.0,4,484,-10
1882,11,芝,2000m,晴,良,4,10,牡3,56,"
藤岡佑介
",17.1,5,500,+10
1883,11,芝,2000m,晴,良,5,4,牡3,56,"
戸崎圭太
",58.8,6,500,0
1884,11,芝,2000m,晴,良,6,7,牡3,56,"
内田博幸
",126.0,7,454,-4
1885,11,芝,2000m,晴,良,7,1,牡3,56,"
ルメール
",4.7,3,518,+8
1886,11,芝,2000m,晴,良,8,2,牡3,56,"
ミナリク
",295.9,10,490,+8
1887,11,芝,2000m,晴,良,9,6,牡3,56,"
武藤雅
",176.5,8,524,+4
1888,11,芝,2000m,晴,良,10,5,牡3,56,"
野中悠太
",194.6,9,472,0
1889,12,芝,外1600m,晴,良,1,8,セ5,57,"
大野拓弥
",7.0,4,460,-6
1890,12,芝,外1600m,晴,良,2,2,牡5,57,"
戸崎圭太
",3.6,2,486,-4
1891,12,芝,外1600m,晴,良,3,9,牡4,57,"
内田博幸
",2.6,1,496,-2
1892,12,芝,外1600m,晴,良,4,5,牝4,55,"
江田照男
",30.8,8,530,+4
1893,12,芝,外1600m,晴,良,5,6,牡4,57,"
武豊
",8.5,5,480,0
1894,12,芝,外1600m,晴,良,6,10,牡4,54,"
山田敬士
",255.5,11,452,-8
1895,12,芝,外1600m,晴,良,7,1,牝6,55,"
横山和生
",26.0,7,454,-4
1896,12,芝,外1600m,晴,良,8,7,牡6,57,"
勝浦正樹
",34.6,9,502,-2
1897,12,芝,外1600m,晴,良,9,12,牡6,57,"
三浦皇成
",70.0,10,506,+2
1898,12,芝,外1600m,晴,良,10,4,セ6,57,"
ルメール
",6.2,3,500,+16
1899,12,芝,外1600m,晴,良,11,3,牝5,53,"
武藤雅
",15.3,6,482,-4
1900,12,芝,外1600m,晴,良,12,11,牡4,57,"
宮崎北斗
",347.5,12,484,-2
1901,1,ダート,1800m,曇,不良,1,9,牝3,54,"
内田博幸
",6.7,4,528,+4
1902,1,ダート,1800m,曇,不良,2,14,牝3,54,"
三浦皇成
",4.1,2,444,-10
1903,1,ダート,1800m,曇,不良,3,8,牝3,54,"
池添謙一
",6.7,5,520,-4
1904,1,ダート,1800m,曇,不良,4,13,牝3,54,"
勝浦正樹
",67.4,10,416,-6
1905,1,ダート,1800m,曇,不良,5,12,牝3,52,"
武藤雅
",8.6,6,446,-8
1906,1,ダート,1800m,曇,不良,6,2,牝3,54,"
柴田善臣
",241.2,12,416,-10
1907,1,ダート,1800m,曇,不良,7,6,牝3,54,"
西村太一
",57.3,8,464,+4
1908,1,ダート,1800m,曇,不良,8,7,牝3,54,"
柴田大知
",205.5,11,442,-2
1909,1,ダート,1800m,曇,不良,9,11,牝3,54,"
岩部純二
",44.3,7,456,-4
1910,1,ダート,1800m,曇,不良,10,1,牝3,54,"
田辺裕信
",3.4,1,486,+2
1911,1,ダート,1800m,曇,不良,11,3,牝3,51,"
山田敬士
",64.1,9,436,-10
1912,1,ダート,1800m,曇,不良,12,4,牝3,54,"
戸崎圭太
",4.5,3,448,-2
1913,1,ダート,1800m,曇,不良,13,10,牝3,54,"
村田一誠
",376.8,13,466,+8
1914,2,ダート,1800m,曇,不良,1,5,牡3,56,"
宮崎北斗
",4.9,2,476,+4
1915,2,ダート,1800m,曇,不良,2,13,牝3,54,"
田中勝春
",13.0,8,488,-4
1916,2,ダート,1800m,曇,不良,3,16,牝3,54,"
戸崎圭太
",9.2,4,502,+4
1917,2,ダート,1800m,曇,不良,4,9,牡3,56,"
江田照男
",31.1,10,496,-2
1918,2,ダート,1800m,曇,不良,5,12,牡3,56,"
柴田大知
",10.5,6,448,-2
1919,2,ダート,1800m,曇,不良,6,1,牡3,56,"
三浦皇成
",14.7,9,492,-6
1920,2,ダート,1800m,曇,不良,7,7,牡3,56,"
石橋脩
",33.3,11,480,+8
1921,2,ダート,1800m,曇,不良,8,3,牡3,56,"
勝浦正樹
",3.4,1,494,0
1922,2,ダート,1800m,曇,不良,9,2,牡3,56,"
吉田隼人
",120.4,12,488,0
1923,2,ダート,1800m,曇,不良,10,10,牡3,56,"
武士沢友
",219.7,15,552,-4
1924,2,ダート,1800m,曇,不良,11,8,牡3,56,"
北村宏司
",12.9,7,484,0
1925,2,ダート,1800m,曇,不良,12,6,牡3,53,"
野中悠太
",10.3,5,468,0
1926,2,ダート,1800m,曇,不良,13,11,牝3,52,"
武藤雅
",159.5,14,462,-4
1927,2,ダート,1800m,曇,不良,14,15,牡3,56,"
菅原隆一
",563.2,16,428,+2
1928,2,ダート,1800m,曇,不良,15,14,牡3,56,"
田辺裕信
",6.8,3,526,-2
1929,2,ダート,1800m,曇,不良,16,4,牡3,56,"
松岡正海
",154.3,13,446,+2
1930,3,ダート,1200m,曇,不良,1,14,牡3,56,"
田辺裕信
",7.8,5,486,+8
1931,3,ダート,1200m,曇,不良,2,10,牡3,56,"
内田博幸
",5.9,4,460,+4
1932,3,ダート,1200m,曇,不良,3,7,牡3,56,"
柴田大知
",13.7,6,474,-6
1933,3,ダート,1200m,曇,不良,4,13,牝3,54,"
ミナリク
",5.1,3,504,-6
1934,3,ダート,1200m,曇,不良,5,16,牝3,54,"
北村宏司
",15.2,7,430,-4
1935,3,ダート,1200m,曇,不良,6,8,牡3,54,"
武藤雅
",4.2,2,498,+6
1936,3,ダート,1200m,曇,不良,7,15,牡3,56,"
丹内祐次
",464.5,15,458,-2
1937,3,ダート,1200m,曇,不良,8,1,牡3,56,"
石橋脩
",3.6,1,464,0
1938,3,ダート,1200m,曇,不良,9,5,牡3,56,"
吉田隼人
",32.9,8,468,-8
1939,3,ダート,1200m,曇,不良,10,11,牡3,56,"
武士沢友
",86.0,11,504,0
1940,3,ダート,1200m,曇,不良,11,12,牡3,56,"
田中勝春
",92.8,12,490,+2
1941,3,ダート,1200m,曇,不良,12,3,牡3,56,"
横山典弘
",58.0,10,514,0
1942,3,ダート,1200m,曇,不良,13,6,牡3,56,"
江田照男
",144.1,13,440,+2
1943,3,ダート,1200m,曇,不良,14,9,牝3,54,"
柴田善臣
",38.1,9,458,-2
1944,3,ダート,1200m,曇,不良,15,4,牡3,53,"
野中悠太
",400.0,14,454,0
1945,3,ダート,1200m,曇,不良,16,2,牡3,53,"
山田敬士
",678.8,16,462,+8
1946,4,ダート,1800m,曇,不良,1,8,牡3,56,"
田辺裕信
",5.7,2,486,0
1947,4,ダート,1800m,曇,不良,2,1,牡3,56,"
木幡初広
",5.8,3,510,-6
1948,4,ダート,1800m,曇,不良,3,10,牝3,54,"
大野拓弥
",8.7,5,448,-8
1949,4,ダート,1800m,曇,不良,4,5,牡3,56,"
勝浦正樹
",10.0,6,500,-2
1950,4,ダート,1800m,曇,不良,5,13,牡3,56,"
ミナリク
",3.2,1,490,-2
1951,4,ダート,1800m,曇,不良,6,15,牡3,56,"
武士沢友
",40.5,11,484,-2
1952,4,ダート,1800m,曇,不良,7,11,牡3,56,"
柴田大知
",26.0,9,480,0
1953,4,ダート,1800m,曇,不良,8,9,牡3,56,"
池添謙一
",12.3,7,536,+2
1954,4,ダート,1800m,曇,不良,9,14,牡3,56,"
北村宏司
",73.1,12,506,+6
1955,4,ダート,1800m,曇,不良,10,3,牝3,52,"
武藤雅
",106.6,13,446,0
1956,4,ダート,1800m,曇,不良,11,4,牡3,56,"
西村太一
",350.4,16,456,-4
1957,4,ダート,1800m,曇,不良,12,12,牝3,54,"
内田博幸
",8.3,4,460,+2
1958,4,ダート,1800m,曇,不良,13,6,牡3,56,"
松岡正海
",18.6,8,426,-8
1959,4,ダート,1800m,曇,不良,14,2,牡3,56,"
石橋脩
",178.2,14,460,-16
1960,4,ダート,1800m,曇,不良,15,16,牡3,56,"
江田照男
",226.3,15,506,-2
1961,4,ダート,1800m,曇,不良,16,7,牡3,56,"
三浦皇成
",35.2,10,460,-4
1962,5,芝,1800m,曇,稍重,1,13,牡3,56,"
戸崎圭太
",2.1,1,510,+2
1963,5,芝,1800m,曇,稍重,2,1,牝3,54,"
田辺裕信
",5.9,3,502,-4
1964,5,芝,1800m,曇,稍重,3,6,牡3,56,"
大野拓弥
",10.4,5,432,+6
