,レース,芝ダ,距離,天候,馬場,着順,馬番,性齢,斤量,騎手,単勝,人気,馬体重,増減
550,2,ダート,1800m,晴,良,12,10,牝3,54,"
黛弘人
",312.9,16,446,-4
551,2,ダート,1800m,晴,良,13,13,牝3,54,"
岩部純二
",310.7,15,448,-6
552,2,ダート,1800m,晴,良,14,11,牝3,54,"
田辺裕信
",15.5,6,448,0
553,2,ダート,1800m,晴,良,15,8,牝3,54,"
森泰斗
",139.7,13,436,+6
554,2,ダート,1800m,晴,良,16,16,牝3,54,"
三浦皇成
",59.4,10,472,0
555,3,ダート,1800m,晴,良,1,12,牡3,56,"
武士沢友
",1.3,1,458,-4
556,3,ダート,1800m,晴,良,2,5,牡3,56,"
田中勝春
",7.1,3,448,+2
557,3,ダート,1800m,晴,良,3,10,牡3,56,"
大野拓弥
",83.4,9,438,-2
558,3,ダート,1800m,晴,良,4,14,牡3,56,"
江田照男
",64.1,7,524,+2
559,3,ダート,1800m,晴,良,5,8,牡3,55,"
木幡初也
",205.0,13,458,-6
560,3,ダート,1800m,晴,良,6,16,牡3,56,"
北村宏司
",43.2,6,474,-6
561,3,ダート,1800m,晴,良,7,15,牡3,56,"
柴田大知
",71.0,8,460,0
562,3,ダート,1800m,晴,良,8,2,牡3,56,"
柴山雄一
",17.9,4,454,0
563,3,ダート,1800m,晴,良,9,4,牝3,51,"
野中悠太
",232.0,16,540,0
564,3,ダート,1800m,晴,良,10,1,牝3,54,"
三浦皇成
",224.9,15,482,-4
565,3,ダート,1800m,晴,良,11,7,牡3,56,"
丸田恭介
",170.5,12,484,0
566,3,ダート,1800m,晴,良,12,3,牡3,56,"
森泰斗
",4.8,2,520,-4
567,3,ダート,1800m,晴,良,13,6,牝3,54,"
田辺裕信
",41.0,5,444,-2
568,3,ダート,1800m,晴,良,14,9,牝3,54,"
二本柳壮
",222.1,14,408,-6
569,3,ダート,1800m,晴,良,15,11,牡3,56,"
横山和生
",118.3,11,498,+4
570,3,ダート,1800m,晴,良,16,13,牡3,56,"
柴田善臣
",97.9,10,468,0
