,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減,複勝
0,1,芝,1200m,曇,良,1,1,54,5.7,4,422,+6,160
1,1,芝,1200m,曇,良,2,6,54,5.5,3,446,+10,170
2,1,芝,1200m,曇,良,3,12,54,3.5,1,426,0,130
3,1,芝,1200m,曇,良,4,4,54,31.1,8,462,-2,0
4,1,芝,1200m,曇,良,5,8,54,4.5,2,412,+14,0
5,1,芝,1200m,曇,良,6,11,54,7.5,5,452,+2,0
6,1,芝,1200m,曇,良,7,16,56,48.0,10,404,+8,0
7,1,芝,1200m,曇,良,8,10,54,94.9,13,430,+2,0
8,1,芝,1200m,曇,良,9,2,53,130.6,15,444,0,0
9,1,芝,1200m,曇,良,10,5,54,205.8,16,428,+10,0
10,1,芝,1200m,曇,良,11,3,51,29.3,7,418,+8,0
11,1,芝,1200m,曇,良,12,15,51,12.6,6,436,0,0
12,1,芝,1200m,曇,良,13,9,54,35.0,9,450,+4,0
13,1,芝,1200m,曇,良,14,14,52,53.5,11,436,+10,0
14,1,芝,1200m,曇,良,15,13,54,121.2,14,414,-2,0
15,1,芝,1200m,曇,良,16,7,54,53.7,12,462,-18,0
16,2,ダート,1000m,曇,良,1,2,54,3.4,2,474,+18,130
17,2,ダート,1000m,曇,良,2,11,54,2.5,1,452,+8,120
18,2,ダート,1000m,曇,良,3,4,51,6.4,3,458,-6,140
19,2,ダート,1000m,曇,良,4,1,54,9.1,4,516,+14,0
20,2,ダート,1000m,曇,良,5,3,54,20.8,8,432,-2,0
21,2,ダート,1000m,曇,良,6,7,53,151.1,11,434,-6,0
22,2,ダート,1000m,曇,良,7,10,51,13.2,6,462,+2,0
23,2,ダート,1000m,曇,良,8,8,56,56.4,9,436,-4,0
24,2,ダート,1000m,曇,良,9,5,54,207.1,12,482,-12,0
25,2,ダート,1000m,曇,良,10,12,54,12.4,5,492,-12,0
26,2,ダート,1000m,曇,良,11,9,55,17.1,7,424,-4,0
27,2,ダート,1000m,曇,良,12,6,54,88.6,10,488,-2,0
28,3,ダート,1700m,曇,良,1,7,56,7.0,5,496,+4,180
29,3,ダート,1700m,曇,良,2,5,54,7.2,6,450,+12,180
30,3,ダート,1700m,曇,良,3,4,56,2.8,1,464,+4,130
31,3,ダート,1700m,曇,良,4,2,53,5.9,3,472,-8,0
32,3,ダート,1700m,曇,良,5,6,56,19.5,7,436,+2,0
33,3,ダート,1700m,曇,良,6,3,53,47.0,9,408,+8,0
34,3,ダート,1700m,曇,良,7,9,56,6.3,4,490,+10,0
35,3,ダート,1700m,曇,良,8,8,56,5.2,2,532,+8,0
36,3,ダート,1700m,曇,良,9,1,54,193.4,10,458,-2,0
37,3,ダート,1700m,曇,良,10,10,56,44.3,8,434,-10,0
38,4,芝,2000m,晴,良,1,10,54,8.5,3,462,-2,170
39,4,芝,2000m,晴,良,2,7,56,2.6,1,462,-4,110
40,4,芝,2000m,晴,良,3,5,54,2.9,2,460,+10,120
41,4,芝,2000m,晴,良,4,2,56,17.2,6,498,-8,0
42,4,芝,2000m,晴,良,5,4,56,77.4,12,450,-8,0
43,4,芝,2000m,晴,良,6,1,56,58.3,10,460,+2,0
44,4,芝,2000m,晴,良,7,6,56,12.9,5,420,+2,0
45,4,芝,2000m,晴,良,8,14,56,11.4,4,450,-4,0
46,4,芝,2000m,晴,良,9,3,54,22.1,8,414,-12,0
47,4,芝,2000m,晴,良,10,11,56,17.4,7,476,0,0
48,4,芝,2000m,晴,良,11,9,54,43.3,9,418,-6,0
49,4,芝,2000m,晴,良,12,12,53,116.6,14,402,-6,0
50,4,芝,2000m,晴,良,13,8,56,79.5,13,474,+10,0
51,4,芝,2000m,晴,良,14,13,56,388.2,15,446,+4,0
52,4,芝,2000m,晴,良,15,15,54,60.8,11,442,-4,0
53,5,芝,1000m,晴,良,1,2,54,39.8,5,456,0,370
54,5,芝,1000m,晴,良,2,1,54,1.4,1,418,0,110
55,5,芝,1000m,晴,良,3,8,54,4.5,2,468,0,120
56,5,芝,1000m,晴,良,4,4,54,7.0,3,446,0,0
57,5,芝,1000m,晴,良,5,3,54,40.5,6,408,0,0
58,5,芝,1000m,晴,良,6,5,51,14.7,4,426,0,0
59,5,芝,1000m,晴,良,7,7,54,46.2,7,434,0,0
60,5,芝,1000m,晴,良,8,9,54,61.6,8,436,0,0
61,5,芝,1000m,晴,良,9,6,54,94.3,9,410,0,0
62,6,ダート,1700m,晴,良,1,6,56,23.9,6,444,0,380
63,6,ダート,1700m,晴,良,2,11,56,7.0,3,470,+8,190
64,6,ダート,1700m,晴,良,3,9,56,1.7,1,520,+10,140
65,6,ダート,1700m,晴,良,4,3,54,10.0,5,448,+10,0
66,6,ダート,1700m,晴,良,5,1,56,161.3,12,458,-4,0
67,6,ダート,1700m,晴,良,6,10,56,102.6,10,466,-4,0
68,6,ダート,1700m,晴,良,7,2,53,67.7,9,430,-2,0
69,6,ダート,1700m,晴,良,8,5,56,6.5,2,492,-4,0
70,6,ダート,1700m,晴,良,9,4,56,124.0,11,460,+6,0
71,6,ダート,1700m,晴,良,10,8,56,7.2,4,458,-4,0
72,6,ダート,1700m,晴,良,11,12,56,36.3,8,480,+4,0
73,6,ダート,1700m,晴,良,12,7,56,33.6,7,442,-2,0
74,7,ダート,1000m,晴,良,1,9,57,2.6,2,470,-4,120
75,7,ダート,1000m,晴,良,2,3,54,35.8,10,472,+10,510
76,7,ダート,1000m,晴,良,3,2,54,2.4,1,484,-4,150
77,7,ダート,1000m,晴,良,4,5,54,33.8,9,514,0,0
78,7,ダート,1000m,晴,良,5,10,57,28.2,7,472,-4,0
79,7,ダート,1000m,晴,良,6,1,55,5.9,3,442,+4,0
80,7,ダート,1000m,晴,良,7,7,52,28.6,8,446,+10,0
81,7,ダート,1000m,晴,良,8,4,55,137.3,12,484,-10,0
82,7,ダート,1000m,晴,良,9,6,54,16.4,4,556,+2,0
83,7,ダート,1000m,晴,良,10,11,51,17.7,5,492,+8,0
84,7,ダート,1000m,晴,良,11,12,54,27.1,6,444,0,0
85,7,ダート,1000m,晴,良,12,8,54,96.2,11,464,+4,0
86,8,芝,1200m,晴,良,1,7,55,3.0,1,488,+20,150
87,8,芝,1200m,晴,良,2,5,54,14.3,7,458,+2,300
88,8,芝,1200m,晴,良,3,15,52,5.1,2,472,+10,150
89,8,芝,1200m,晴,良,4,8,57,13.3,6,454,-4,0
90,8,芝,1200m,晴,良,5,14,56,16.2,8,506,+4,0
91,8,芝,1200m,晴,良,6,1,55,12.3,4,500,+8,0
92,8,芝,1200m,晴,良,7,3,56,299.9,16,438,+6,0
93,8,芝,1200m,晴,良,8,13,55,36.2,11,408,+16,0
94,8,芝,1200m,晴,良,9,12,54,12.5,5,490,0,0
95,8,芝,1200m,晴,良,10,16,55,95.1,14,456,+2,0
96,8,芝,1200m,晴,良,11,4,52,45.5,12,438,+22,0
97,8,芝,1200m,晴,良,12,2,54,5.3,3,446,+4,0
98,8,芝,1200m,晴,良,13,11,55,23.3,9,444,-8,0
99,8,芝,1200m,晴,良,14,9,49,25.1,10,406,0,0
100,8,芝,1200m,晴,良,15,10,57,272.4,15,474,0,0
101,8,芝,1200m,晴,良,16,6,55,49.0,13,424,-2,0
102,9,ダート,1700m,晴,良,1,3,57,11.5,5,496,+4,340
103,9,ダート,1700m,晴,良,2,10,54,5.4,2,512,+4,210
104,9,ダート,1700m,晴,良,3,12,52,6.7,4,438,-12,220
105,9,ダート,1700m,晴,良,4,4,57,16.7,7,502,+6,0
106,9,ダート,1700m,晴,良,5,9,55,2.9,1,458,+6,0
107,9,ダート,1700m,晴,良,6,5,57,6.6,3,488,+2,0
108,9,ダート,1700m,晴,良,7,1,51,24.4,9,446,+4,0
109,9,ダート,1700m,晴,良,8,13,57,83.8,13,496,-4,0
110,9,ダート,1700m,晴,良,9,2,55,18.6,8,456,-14,0
111,9,ダート,1700m,晴,良,10,6,57,25.6,10,480,-16,0
112,9,ダート,1700m,晴,良,11,14,57,221.9,14,448,0,0
113,9,ダート,1700m,晴,良,12,11,52,11.6,6,466,-6,0
114,9,ダート,1700m,晴,良,13,8,55,80.3,12,520,-4,0
115,9,ダート,1700m,晴,良,14,7,57,29.0,11,474,-6,0
116,10,芝,2600m,晴,良,1,12,57,21.3,9,464,+4,590
117,10,芝,2600m,晴,良,2,1,53,28.8,10,486,-2,780
118,10,芝,2600m,晴,良,3,9,57,2.9,1,440,-4,160
119,10,芝,2600m,晴,良,4,5,54,10.6,6,466,0,0
120,10,芝,2600m,晴,良,5,4,57,3.8,2,444,+2,0
121,10,芝,2600m,晴,良,6,7,57,16.9,7,506,+2,0
122,10,芝,2600m,晴,良,7,10,57,28.9,11,464,0,0
123,10,芝,2600m,晴,良,8,3,55,65.0,12,470,+4,0
124,10,芝,2600m,晴,良,9,6,57,9.6,4,482,-2,0
125,10,芝,2600m,晴,良,10,8,55,8.1,3,470,+6,0
126,10,芝,2600m,晴,良,11,2,53,10.1,5,466,+10,0
127,10,芝,2600m,晴,良,12,11,55,20.3,8,440,+2,0
128,11,芝,1200m,晴,良,1,16,52,6.3,2,474,-4,180
129,11,芝,1200m,晴,良,2,12,57,1.7,1,500,0,110
130,11,芝,1200m,晴,良,3,13,55,15.9,6,460,0,260
131,11,芝,1200m,晴,良,4,10,57,118.5,13,494,-22,0
132,11,芝,1200m,晴,良,5,4,55,230.5,16,488,+18,0
133,11,芝,1200m,晴,良,6,8,57,9.3,3,482,0,0
134,11,芝,1200m,晴,良,7,2,57,21.9,7,472,-14,0
135,11,芝,1200m,晴,良,8,15,57,143.1,14,444,-8,0
136,11,芝,1200m,晴,良,9,14,55,48.1,11,412,-4,0
137,11,芝,1200m,晴,良,10,7,55,11.2,4,470,+18,0
138,11,芝,1200m,晴,良,11,6,55,150.4,15,448,+6,0
139,11,芝,1200m,晴,良,12,9,57,111.2,12,484,-4,0
140,11,芝,1200m,晴,良,13,3,54,14.4,5,476,+2,0
141,11,芝,1200m,晴,良,14,11,57,40.3,9,504,-4,0
142,11,芝,1200m,晴,良,15,5,57,34.8,8,492,-4,0
143,11,芝,1200m,晴,良,16,1,54,42.5,10,484,+2,0
144,12,芝,1800m,晴,良,1,1,55,1.9,1,500,-2,110
145,12,芝,1800m,晴,良,2,7,55,5.6,3,434,-2,130
146,12,芝,1800m,晴,良,3,10,55,3.4,2,392,+6,110
147,12,芝,1800m,晴,良,4,9,52,17.3,5,410,+14,0
148,12,芝,1800m,晴,良,5,6,55,6.6,4,452,-12,0
149,12,芝,1800m,晴,良,6,2,55,62.0,7,442,+20,0
150,12,芝,1800m,晴,良,7,5,55,39.5,6,428,0,0
151,12,芝,1800m,晴,良,8,8,55,126.2,10,464,+2,0
152,12,芝,1800m,晴,良,9,4,55,68.5,8,466,+1,0
153,1,ダート,1700m,曇,良,1,2,54,7.2,2,472,+6,140
154,1,ダート,1700m,曇,良,2,11,54,8.5,3,462,+4,170
155,1,ダート,1700m,曇,良,3,4,54,1.6,1,476,-6,110
156,1,ダート,1700m,曇,良,4,13,54,11.7,4,460,-4,0
157,1,ダート,1700m,曇,良,5,12,54,21.4,8,506,-2,0
158,1,ダート,1700m,曇,良,6,7,51,34.4,9,440,0,0
159,1,ダート,1700m,曇,良,7,5,53,83.6,10,418,-2,0
160,1,ダート,1700m,曇,良,8,6,54,16.2,6,454,+6,0
161,1,ダート,1700m,曇,良,9,10,54,17.1,7,484,+8,0
162,1,ダート,1700m,曇,良,10,9,54,210.8,12,466,-6,0
163,1,ダート,1700m,曇,良,11,3,54,211.0,13,478,+18,0
164,1,ダート,1700m,曇,良,12,1,54,111.8,11,446,-22,0
165,1,ダート,1700m,曇,良,13,8,54,15.9,5,470,0,0
166,2,ダート,1000m,曇,良,1,10,53,11.1,6,462,+2,290
167,2,ダート,1000m,曇,良,2,8,52,8.1,4,410,-4,230
168,2,ダート,1000m,曇,良,3,7,51,3.3,2,462,-16,140
169,2,ダート,1000m,曇,良,4,5,54,15.0,7,450,0,0
170,2,ダート,1000m,曇,良,5,2,54,40.4,9,452,-4,0
171,2,ダート,1000m,曇,良,5,9,54,6.5,3,410,0,0
172,2,ダート,1000m,曇,良,7,12,54,9.1,5,450,-6,0
173,2,ダート,1000m,曇,良,8,1,52,155.3,11,438,+18,0
174,2,ダート,1000m,曇,良,9,11,54,125.8,10,426,+14,0
175,2,ダート,1000m,曇,良,10,3,53,31.9,8,468,+4,0
176,2,ダート,1000m,曇,良,11,6,51,2.9,1,422,-4,0
177,2,ダート,1000m,曇,良,12,4,56,176.6,12,450,-10,0
178,3,芝,1200m,曇,良,1,10,54,5.0,3,424,+6,190
179,3,芝,1200m,曇,良,2,14,56,3.4,1,430,-2,150
180,3,芝,1200m,曇,良,3,4,54,36.1,12,430,-2,680
181,3,芝,1200m,曇,良,4,12,56,9.5,5,470,+10,0
182,3,芝,1200m,曇,良,5,2,53,10.7,6,452,-4,0
183,3,芝,1200m,曇,良,6,6,53,77.7,14,414,0,0
184,3,芝,1200m,曇,良,7,15,54,25.3,7,454,-6,0
185,3,芝,1200m,曇,良,8,1,54,25.5,8,422,0,0
186,3,芝,1200m,曇,良,9,7,54,50.8,13,394,-8,0
187,3,芝,1200m,曇,良,10,8,51,9.0,4,428,-4,0
188,3,芝,1200m,曇,良,11,16,56,27.5,9,442,-10,0
189,3,芝,1200m,曇,良,12,13,56,33.9,11,484,-10,0
190,3,芝,1200m,曇,良,13,11,54,4.8,2,434,-8,0
191,3,芝,1200m,曇,良,14,9,52,354.3,16,420,-6,0
192,3,芝,1200m,曇,良,15,3,53,29.7,10,404,0,0
193,3,芝,1200m,曇,良,16,5,54,228.5,15,402,0,0
194,4,ダート,1700m,曇,良,1,13,52,6.2,4,458,0,190
195,4,ダート,1700m,曇,良,2,8,56,28.0,9,462,+2,830
196,4,ダート,1700m,曇,良,3,12,56,4.9,3,494,-2,210
197,4,ダート,1700m,曇,良,4,5,56,29.9,10,462,0,0
198,4,ダート,1700m,曇,良,5,9,54,4.7,2,420,0,0
199,4,ダート,1700m,曇,良,6,7,54,4.7,1,450,-2,0
200,4,ダート,1700m,曇,良,7,10,54,14.2,7,492,0,0
201,4,ダート,1700m,曇,良,8,11,56,10.2,6,474,-2,0
202,4,ダート,1700m,曇,良,9,6,54,7.2,5,402,-4,0
203,4,ダート,1700m,曇,良,10,4,56,14.5,8,484,+6,0
204,4,ダート,1700m,曇,良,11,3,55,240.1,13,446,-8,0
205,4,ダート,1700m,曇,良,12,1,54,84.0,11,486,0,0
206,4,ダート,1700m,曇,良,13,2,55,113.2,12,446,0,0
207,5,芝,1200m,曇,良,1,8,54,6.8,3,462,0,200
208,5,芝,1200m,曇,良,2,10,51,10.4,5,404,0,220
209,5,芝,1200m,曇,良,3,2,54,3.2,1,454,0,130
210,5,芝,1200m,曇,良,4,1,54,8.6,4,484,0,0
211,5,芝,1200m,曇,良,5,7,54,3.4,2,436,0,0
212,5,芝,1200m,曇,良,6,11,54,14.4,6,442,0,0
213,5,芝,1200m,曇,良,7,6,54,52.3,9,434,0,0
214,5,芝,1200m,曇,良,8,14,52,16.0,7,432,0,0
215,5,芝,1200m,曇,良,9,4,54,61.8,10,480,0,0
216,5,芝,1200m,曇,良,10,3,53,210.3,14,460,0,0
217,5,芝,1200m,曇,良,11,12,54,190.0,13,436,0,0
218,5,芝,1200m,曇,良,12,13,54,26.8,8,460,0,0
219,5,芝,1200m,曇,良,13,9,54,71.7,11,488,0,0
220,5,芝,1200m,曇,良,14,5,51,145.6,12,448,0,0
221,6,芝,1800m,曇,良,1,1,56,3.9,2,488,-6,180
222,6,芝,1800m,曇,良,2,9,53,27.3,8,456,+4,410
223,6,芝,1800m,曇,良,3,6,54,7.3,3,426,+2,240
224,6,芝,1800m,曇,良,4,7,56,7.4,4,458,+10,0
225,6,芝,1800m,曇,良,5,14,54,175.3,12,426,-4,0
226,6,芝,1800m,曇,良,6,3,53,17.2,6,456,0,0
227,6,芝,1800m,曇,良,7,10,56,11.8,5,464,+2,0
228,6,芝,1800m,曇,良,8,8,56,2.2,1,476,-4,0
229,6,芝,1800m,曇,良,9,5,54,29.6,9,444,+12,0
230,6,芝,1800m,曇,良,10,2,52,242.9,14,408,+2,0
