,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減,複勝
0,1,ダート,1200m,晴,良,1,14,56,2.3,1,486,+2,110
1,1,ダート,1200m,晴,良,2,16,56,5.2,2,458,+4,150
2,1,ダート,1200m,晴,良,3,1,56,8.2,5,466,-2,180
3,1,ダート,1200m,晴,良,4,5,56,7.5,4,470,-6,0
4,1,ダート,1200m,晴,良,5,2,56,18.2,7,440,-4,0
5,1,ダート,1200m,晴,良,6,6,56,47.8,9,430,+4,0
6,1,ダート,1200m,晴,良,7,4,56,101.9,10,462,-6,0
7,1,ダート,1200m,晴,良,8,13,56,23.3,8,462,-2,0
8,1,ダート,1200m,晴,良,9,11,54,352.8,14,470,0,0
9,1,ダート,1200m,晴,良,10,9,54,102.6,11,434,0,0
10,1,ダート,1200m,晴,良,11,7,53,17.0,6,414,-2,0
11,1,ダート,1200m,晴,良,12,3,56,5.8,3,460,+2,0
12,1,ダート,1200m,晴,良,13,12,53,440.6,15,410,0,0
13,1,ダート,1200m,晴,良,14,8,56,499.6,16,410,+8,0
14,1,ダート,1200m,晴,良,15,15,54,205.1,13,466,+8,0
15,1,ダート,1200m,晴,良,16,10,56,171.2,12,494,0,0
16,2,ダート,1800m,晴,良,1,9,56,4.7,2,476,-6,120
17,2,ダート,1800m,晴,良,2,3,56,79.1,9,472,-8,360
18,2,ダート,1800m,晴,良,3,1,56,1.3,1,492,-2,100
19,2,ダート,1800m,晴,良,4,14,54,6.9,3,432,-12,0
20,2,ダート,1800m,晴,良,5,6,56,372.1,15,442,-8,0
21,2,ダート,1800m,晴,良,6,12,56,27.7,4,480,-4,0
22,2,ダート,1800m,晴,良,7,8,56,42.4,6,450,0,0
23,2,ダート,1800m,晴,良,8,4,56,164.7,12,502,-4,0
24,2,ダート,1800m,晴,良,9,2,56,165.1,13,454,-5,0
25,2,ダート,1800m,晴,良,10,7,56,34.2,5,464,+9,0
26,2,ダート,1800m,晴,良,11,13,53,155.3,11,466,-14,0
27,2,ダート,1800m,晴,良,12,11,55,61.0,8,478,0,0
28,2,ダート,1800m,晴,良,13,5,51,277.4,14,450,-10,0
29,2,ダート,1800m,晴,良,14,10,56,59.3,7,460,-2,0
30,2,ダート,1800m,晴,良,15,15,56,80.9,10,430,-2,0
31,3,ダート,1200m,晴,良,1,15,56,2.0,1,492,0,110
32,3,ダート,1200m,晴,良,2,9,56,3.0,2,494,0,110
33,3,ダート,1200m,晴,良,3,5,56,10.2,4,522,0,190
34,3,ダート,1200m,晴,良,4,14,56,25.3,7,506,0,0
35,3,ダート,1200m,晴,良,5,2,54,114.9,11,466,0,0
36,3,ダート,1200m,晴,良,6,12,56,14.4,5,482,0,0
37,3,ダート,1200m,晴,良,7,13,56,23.6,6,436,0,0
38,3,ダート,1200m,晴,良,8,8,54,36.0,8,438,0,0
39,3,ダート,1200m,晴,良,9,3,56,97.1,10,444,0,0
40,3,ダート,1200m,晴,良,10,11,54,314.5,15,476,0,0
41,3,ダート,1200m,晴,良,11,7,54,9.7,3,478,0,0
42,3,ダート,1200m,晴,良,12,6,54,257.9,14,484,0,0
43,3,ダート,1200m,晴,良,13,10,53,84.9,9,486,0,0
44,3,ダート,1200m,晴,良,14,16,54,215.4,12,418,0,0
45,3,ダート,1200m,晴,良,15,4,54,393.4,16,422,0,0
46,3,ダート,1200m,晴,良,16,1,54,244.3,13,370,0,0
47,4,芝,2000m,晴,良,1,8,56,2.5,2,454,+10,150
48,4,芝,2000m,晴,良,2,10,55,39.8,5,426,-4,"1,080"
49,4,芝,2000m,晴,良,3,11,56,4.9,3,472,0,250
50,4,芝,2000m,晴,良,4,4,56,1.8,1,432,+2,0
51,4,芝,2000m,晴,良,5,7,56,41.7,6,422,-6,0
52,4,芝,2000m,晴,良,6,3,56,84.8,7,498,0,0
53,4,芝,2000m,晴,良,7,1,54,100.3,8,458,-12,0
54,4,芝,2000m,晴,良,8,5,54,24.5,4,440,0,0
55,4,芝,2000m,晴,良,9,6,51,349.9,10,442,-12,0
56,4,芝,2000m,晴,良,10,9,56,455.0,11,376,-2,0
57,4,芝,2000m,晴,良,11,2,56,121.9,9,508,-6,0
58,5,ダート,1400m,晴,良,1,3,56,12.3,4,496,+4,180
59,5,ダート,1400m,晴,良,2,8,56,1.5,1,462,0,110
60,5,ダート,1400m,晴,良,3,2,56,5.7,2,488,+10,150
61,5,ダート,1400m,晴,良,4,9,54,16.2,6,524,+6,0
62,5,ダート,1400m,晴,良,5,5,56,33.0,7,472,+2,0
63,5,ダート,1400m,晴,良,6,6,56,6.7,3,458,-4,0
64,5,ダート,1400m,晴,良,7,4,56,77.4,8,448,-4,0
65,5,ダート,1400m,晴,良,8,1,56,13.0,5,496,+4,0
66,5,ダート,1400m,晴,良,9,7,54,295.9,9,502,-2,0
67,5,ダート,1400m,晴,良,10,10,56,400.0,10,488,+4,0
68,6,ダート,1800m,晴,良,1,8,56,45.2,12,520,-6,800
69,6,ダート,1800m,晴,良,2,12,57,5.0,3,540,-4,210
70,6,ダート,1800m,晴,良,3,16,57,3.0,1,460,-4,150
71,6,ダート,1800m,晴,良,4,10,56,4.2,2,448,+4,0
72,6,ダート,1800m,晴,良,5,13,57,27.4,10,500,+14,0
73,6,ダート,1800m,晴,良,6,2,56,15.4,6,484,-2,0
74,6,ダート,1800m,晴,良,7,14,56,32.9,11,534,0,0
75,6,ダート,1800m,晴,良,8,7,57,97.3,13,472,0,0
76,6,ダート,1800m,晴,良,9,3,56,11.3,4,460,+20,0
77,6,ダート,1800m,晴,良,10,11,56,18.2,7,514,-4,0
78,6,ダート,1800m,晴,良,11,9,57,12.4,5,488,0,0
79,6,ダート,1800m,晴,良,12,15,56,26.5,9,484,-4,0
80,6,ダート,1800m,晴,良,13,1,57,19.2,8,496,+8,0
81,6,ダート,1800m,晴,良,14,5,57,459.7,15,470,-10,0
82,6,ダート,1800m,晴,良,15,6,56,286.3,14,530,-6,0
83,6,ダート,1800m,晴,良,16,4,51,739.9,16,416,-4,0
84,7,ダート,1400m,晴,良,1,5,55,3.3,1,460,-6,140
85,7,ダート,1400m,晴,良,2,12,55,4.6,3,534,+6,150
86,7,ダート,1400m,晴,良,3,8,55,4.0,2,418,-6,150
87,7,ダート,1400m,晴,良,4,9,54,287.0,14,464,+14,0
88,7,ダート,1400m,晴,良,5,13,55,13.4,5,492,-4,0
89,7,ダート,1400m,晴,良,6,15,55,18.0,6,502,+2,0
90,7,ダート,1400m,晴,良,7,10,55,36.2,9,464,+8,0
91,7,ダート,1400m,晴,良,8,16,55,4.9,4,474,-8,0
92,7,ダート,1400m,晴,良,9,4,55,116.4,11,500,-6,0
93,7,ダート,1400m,晴,良,10,14,55,38.4,10,428,-4,0
94,7,ダート,1400m,晴,良,11,2,55,410.0,16,448,-8,0
95,7,ダート,1400m,晴,良,12,3,55,178.3,13,454,-10,0
96,7,ダート,1400m,晴,良,13,7,55,26.5,8,454,-8,0
97,7,ダート,1400m,晴,良,14,11,55,155.2,12,442,-2,0
98,7,ダート,1400m,晴,良,15,1,55,25.9,7,548,-4,0
99,7,ダート,1400m,晴,良,16,6,55,350.7,15,474,-4,0
100,8,芝,2000m,晴,良,1,9,57,14.0,7,440,-2,380
101,8,芝,2000m,晴,良,2,11,54,4.0,1,454,+8,170
102,8,芝,2000m,晴,良,3,15,56,6.5,5,524,-6,210
103,8,芝,2000m,晴,良,4,7,56,10.5,6,444,+14,0
104,8,芝,2000m,晴,良,5,12,57,43.4,9,470,-4,0
105,8,芝,2000m,晴,良,6,13,55,222.0,16,458,-10,0
106,8,芝,2000m,晴,良,7,4,55,55.8,10,440,-6,0
107,8,芝,2000m,晴,良,8,2,54,4.7,2,482,+8,0
108,8,芝,2000m,晴,良,9,10,56,92.1,13,504,-14,0
109,8,芝,2000m,晴,良,10,5,56,5.9,3,488,+2,0
110,8,芝,2000m,晴,良,11,6,54,75.7,11,442,+6,0
111,8,芝,2000m,晴,良,12,1,56,6.1,4,486,+6,0
112,8,芝,2000m,晴,良,13,14,57,88.9,12,500,-14,0
113,8,芝,2000m,晴,良,14,3,57,20.7,8,486,-12,0
114,8,芝,2000m,晴,良,15,16,56,147.5,15,484,-6,0
115,8,芝,2000m,晴,良,16,8,54,108.4,14,464,-8,0
116,9,芝,2200m,晴,良,1,2,56,3.0,2,492,+10,180
117,9,芝,2200m,晴,良,2,5,56,4.5,3,478,+4,200
118,9,芝,2200m,晴,良,3,3,55,2.2,1,476,0,0
119,9,芝,2200m,晴,良,4,1,57,38.3,6,478,0,0
120,9,芝,2200m,晴,良,5,6,57,7.9,4,470,+8,0
121,9,芝,2200m,晴,良,6,4,57,82.2,7,528,-2,0
122,9,芝,2200m,晴,良,7,7,56,10.3,5,458,+2,0
123,10,芝,1200m,晴,良,1,5,54,2.0,1,474,+8,110
124,10,芝,1200m,晴,良,2,7,54,6.8,3,498,-4,180
125,10,芝,1200m,晴,良,3,3,56,14.6,7,486,-8,250
126,10,芝,1200m,晴,良,4,2,56,7.6,4,472,+6,0
127,10,芝,1200m,晴,良,5,10,56,5.5,2,460,-4,0
128,10,芝,1200m,晴,良,6,8,56,24.4,8,494,+10,0
129,10,芝,1200m,晴,良,7,1,54,204.6,9,462,+6,0
130,10,芝,1200m,晴,良,8,9,54,10.3,5,454,-6,0
131,10,芝,1200m,晴,良,9,6,56,11.4,6,432,-4,0
132,10,芝,1200m,晴,良,10,4,54,312.6,10,446,-2,0
133,11,ダート,2000m,晴,良,1,1,56,4.0,2,536,+6,160
134,11,ダート,2000m,晴,良,2,2,56,3.1,1,518,+2,150
135,11,ダート,2000m,晴,良,3,11,53,31.6,9,468,-2,570
136,11,ダート,2000m,晴,良,4,7,54,7.4,3,506,+4,0
137,11,ダート,2000m,晴,良,5,16,53,10.0,6,530,+6,0
138,11,ダート,2000m,晴,良,6,5,54,7.5,4,510,+4,0
139,11,ダート,2000m,晴,良,7,12,54,49.0,11,480,-10,0
140,11,ダート,2000m,晴,良,8,6,57,9.9,5,488,-4,0
141,11,ダート,2000m,晴,良,9,14,55,53.0,12,512,-8,0
142,11,ダート,2000m,晴,良,10,15,54,37.6,10,458,-4,0
143,11,ダート,2000m,晴,良,11,3,57.5,25.8,8,530,0,0
144,11,ダート,2000m,晴,良,12,8,55,109.6,13,478,-4,0
145,11,ダート,2000m,晴,良,13,13,53,252.4,15,500,-8,0
146,11,ダート,2000m,晴,良,14,10,56,335.9,16,480,-2,0
147,11,ダート,2000m,晴,良,15,4,53,230.7,14,498,-6,0
148,11,ダート,2000m,晴,良,16,9,54,15.4,7,490,+2,0
149,12,芝,外1600m,晴,良,1,1,55,5.0,4,512,+6,130
150,12,芝,外1600m,晴,良,2,2,57,2.4,1,524,-12,110
151,12,芝,外1600m,晴,良,3,3,55,3.8,2,496,-4,120
152,12,芝,外1600m,晴,良,4,8,57,21.6,6,474,-6,0
153,12,芝,外1600m,晴,良,5,10,55,4.4,3,482,-4,0
154,12,芝,外1600m,晴,良,6,11,57,95.8,9,422,+2,0
155,12,芝,外1600m,晴,良,7,5,57,16.5,5,524,+2,0
156,12,芝,外1600m,晴,良,8,6,57,235.3,10,476,-8,0
157,12,芝,外1600m,晴,良,9,7,55,61.8,7,422,-4,0
158,12,芝,外1600m,晴,良,10,9,56,242.4,11,482,+14,0
159,12,芝,外1600m,晴,良,11,4,57,74.5,8,494,+8,0
160,1,ダート,1800m,曇,良,1,7,54,2.7,2,476,-4,150
161,1,ダート,1800m,曇,良,2,9,54,18.2,5,438,0,510
162,1,ダート,1800m,曇,良,3,2,54,19.2,6,456,-2,660
163,1,ダート,1800m,曇,良,4,15,53,11.7,4,460,-2,0
164,1,ダート,1800m,曇,良,5,16,54,10.6,3,500,0,0
165,1,ダート,1800m,曇,良,6,12,54,2.0,1,486,0,0
166,1,ダート,1800m,曇,良,7,13,54,89.0,9,440,-4,0
167,1,ダート,1800m,曇,良,8,11,51,91.9,10,448,-4,0
168,1,ダート,1800m,曇,良,9,8,53,201.0,13,412,0,0
169,1,ダート,1800m,曇,良,10,3,53,35.4,8,436,-8,0
170,1,ダート,1800m,曇,良,11,5,54,153.6,11,476,0,0
171,1,ダート,1800m,曇,良,12,4,54,460.2,16,450,-6,0
172,1,ダート,1800m,曇,良,13,14,54,412.2,15,456,-4,0
173,1,ダート,1800m,曇,良,14,1,54,370.1,14,464,0,0
174,1,ダート,1800m,曇,良,15,10,54,160.3,12,456,+4,0
175,1,ダート,1800m,曇,良,16,6,54,32.3,7,440,-6,0
176,2,ダート,1400m,曇,良,1,16,56,5.9,3,510,0,250
177,2,ダート,1400m,曇,良,2,5,54,18.3,8,516,+22,560
178,2,ダート,1400m,曇,良,3,13,56,5.6,2,484,-4,210
179,2,ダート,1400m,曇,良,4,9,54,6.2,5,466,-4,0
180,2,ダート,1400m,曇,良,5,11,56,4.7,1,442,+2,0
181,2,ダート,1400m,曇,良,6,10,56,64.9,11,484,-6,0
182,2,ダート,1400m,曇,良,7,14,54,46.1,10,428,0,0
183,2,ダート,1400m,曇,良,8,4,56,16.1,7,496,+2,0
184,2,ダート,1400m,曇,良,9,8,53,419.2,14,446,-2,0
185,2,ダート,1400m,曇,良,10,2,56,6.3,6,468,-22,0
186,2,ダート,1400m,曇,良,11,3,54,434.3,15,420,+2,0
187,2,ダート,1400m,曇,良,12,7,56,265.1,13,556,-2,0
