,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減,複勝
0,1,ダート,1200m,曇,良,1,10,53,2.6,2,504,0,110
1,1,ダート,1200m,曇,良,2,7,54,2.6,1,440,-2,110
2,1,ダート,1200m,曇,良,3,13,54,45.1,10,432,+20,640
3,1,ダート,1200m,曇,良,4,8,54,21.7,8,420,+6,0
4,1,ダート,1200m,曇,良,5,12,54,18.0,5,414,-2,0
5,1,ダート,1200m,曇,良,6,5,51,153.8,15,414,-4,0
6,1,ダート,1200m,曇,良,7,2,54,19.2,7,426,+10,0
7,1,ダート,1200m,曇,良,8,14,54,16.2,4,450,+6,0
8,1,ダート,1200m,曇,良,9,4,54,60.4,12,488,-6,0
9,1,ダート,1200m,曇,良,10,15,54,26.2,9,440,+4,0
10,1,ダート,1200m,曇,良,11,3,54,18.9,6,454,0,0
11,1,ダート,1200m,曇,良,12,1,52,76.9,14,416,+24,0
12,1,ダート,1200m,曇,良,13,16,53,159.1,16,420,0,0
13,1,ダート,1200m,曇,良,14,6,54,72.1,13,454,+4,0
14,1,ダート,1200m,曇,良,15,11,51,11.4,3,440,+2,0
15,1,ダート,1200m,曇,良,16,9,54,48.9,11,454,-2,0
16,2,ダート,1800m,曇,良,1,13,53,20.9,6,460,-2,390
17,2,ダート,1800m,曇,良,2,6,55,10.9,5,470,-8,240
18,2,ダート,1800m,曇,良,3,4,56,2.3,1,490,0,130
19,2,ダート,1800m,曇,良,4,9,56,4.6,2,512,+6,0
20,2,ダート,1800m,曇,良,5,16,56,5.7,3,534,+6,0
21,2,ダート,1800m,曇,良,6,10,56,67.6,11,456,+4,0
22,2,ダート,1800m,曇,良,7,3,56,21.1,7,496,-2,0
23,2,ダート,1800m,曇,良,8,12,55,37.3,9,486,-4,0
24,2,ダート,1800m,曇,良,9,14,56,284.0,16,452,-2,0
25,2,ダート,1800m,曇,良,10,5,53,39.3,10,480,-2,0
26,2,ダート,1800m,曇,良,11,15,56,9.8,4,484,+2,0
27,2,ダート,1800m,曇,良,12,1,56,70.0,12,478,0,0
28,2,ダート,1800m,曇,良,13,8,54,249.7,15,458,-2,0
29,2,ダート,1800m,曇,良,14,2,55,168.8,14,518,0,0
30,2,ダート,1800m,曇,良,15,11,56,34.5,8,486,+6,0
31,3,ダート,1400m,曇,良,1,9,56,6.2,3,490,0,180
32,3,ダート,1400m,曇,良,2,3,56,2.1,1,474,0,110
33,3,ダート,1400m,曇,良,3,4,56,4.7,2,424,0,140
34,3,ダート,1400m,曇,良,4,10,54,10.3,4,450,0,0
35,3,ダート,1400m,曇,良,5,16,56,18.1,6,454,-10,0
36,3,ダート,1400m,曇,良,6,6,54,275.2,13,416,-12,0
37,3,ダート,1400m,曇,良,7,2,56,25.0,9,486,+14,0
38,3,ダート,1400m,曇,良,8,5,56,15.1,5,472,-2,0
39,3,ダート,1400m,曇,良,9,7,54,96.9,11,492,0,0
40,3,ダート,1400m,曇,良,10,1,55,19.2,7,488,+8,0
41,3,ダート,1400m,曇,良,11,11,53,336.4,15,444,0,0
42,3,ダート,1400m,曇,良,12,12,53,46.5,10,470,+10,0
43,3,ダート,1400m,曇,良,13,14,54,412.3,16,436,-4,0
44,3,ダート,1400m,曇,良,14,8,56,22.6,8,492,+8,0
45,3,ダート,1400m,曇,良,15,15,53,322.8,14,452,+6,0
46,3,ダート,1400m,曇,良,16,13,56,141.6,12,520,+18,0
47,4,ダート,1800m,曇,良,1,6,54,3.4,1,478,0,170
48,4,ダート,1800m,曇,良,2,10,54,22.6,7,448,0,420
49,4,ダート,1800m,曇,良,3,11,54,5.1,3,466,+2,170
50,4,ダート,1800m,曇,良,4,3,55,4.8,2,508,+16,0
51,4,ダート,1800m,曇,良,5,4,54,8.5,5,510,0,0
52,4,ダート,1800m,曇,良,6,8,55,28.5,9,470,0,0
53,4,ダート,1800m,曇,良,7,1,53,104.6,12,438,-8,0
54,4,ダート,1800m,曇,良,8,14,55,169.8,15,492,-2,0
55,4,ダート,1800m,曇,良,9,2,53,8.9,6,460,-8,0
56,4,ダート,1800m,曇,良,10,16,55,131.5,14,536,+6,0
57,4,ダート,1800m,曇,良,11,13,54,34.0,10,436,-4,0
58,4,ダート,1800m,曇,良,12,9,52,117.9,13,484,+10,0
59,4,ダート,1800m,曇,良,13,15,51,7.5,4,470,-2,0
60,4,ダート,1800m,曇,良,14,12,51,233.5,16,418,0,0
61,4,ダート,1800m,曇,良,15,5,54,28.3,8,420,-2,0
62,4,ダート,1800m,曇,良,16,7,54,55.6,11,478,+18,0
63,5,芝,外2200m,曇,良,1,5,56,1.6,1,476,-2,110
64,5,芝,外2200m,曇,良,2,4,56,3.0,2,498,+4,110
65,5,芝,外2200m,曇,良,3,3,56,27.2,7,512,-6,260
66,5,芝,外2200m,曇,良,4,1,56,14.2,4,454,-10,0
67,5,芝,外2200m,曇,良,5,6,54,231.9,11,486,-2,0
68,5,芝,外2200m,曇,良,6,8,54,21.4,6,462,-4,0
69,5,芝,外2200m,曇,良,7,9,56,131.8,9,496,-6,0
70,5,芝,外2200m,曇,良,8,12,56,110.0,8,470,0,0
