,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減,複勝
0,1,ダート,1700m,曇,良,1,11,51,12.7,5,476,-4,350
1,1,ダート,1700m,曇,良,2,3,56,2.8,1,472,0,120
2,1,ダート,1700m,曇,良,3,10,53,5.4,3,468,+6,170
3,1,ダート,1700m,曇,良,4,5,53,28.1,7,468,-4,0
4,1,ダート,1700m,曇,良,5,7,56,66.1,11,504,+26,0
5,1,ダート,1700m,曇,良,6,12,56,9.3,4,482,+4,0
6,1,ダート,1700m,曇,良,7,8,56,3.0,2,522,-2,0
7,1,ダート,1700m,曇,良,8,1,56,40.1,8,482,0,0
8,1,ダート,1700m,曇,良,9,14,56,19.6,6,454,-4,0
9,1,ダート,1700m,曇,良,10,6,56,64.9,10,448,0,0
10,1,ダート,1700m,曇,良,11,2,54,83.4,12,446,-8,0
11,1,ダート,1700m,曇,良,12,4,53,47.1,9,456,-6,0
12,1,ダート,1700m,曇,良,13,15,54,116.2,14,434,-4,0
13,1,ダート,1700m,曇,良,14,9,54,108.5,13,474,-4,0
14,1,ダート,1700m,曇,良,15,13,56,203.2,15,458,-8,0
15,2,芝,1200m,曇,良,1,1,53,26.2,8,476,0,530
16,2,芝,1200m,曇,良,2,3,54,7.6,3,406,-16,180
17,2,芝,1200m,曇,良,3,12,56,1.8,1,470,-6,120
18,2,芝,1200m,曇,良,4,14,53,7.3,2,438,0,0
19,2,芝,1200m,曇,良,5,9,54,10.1,4,478,+2,0
20,2,芝,1200m,曇,良,6,6,51,14.3,5,418,+8,0
21,2,芝,1200m,曇,良,7,7,54,16.1,6,432,-8,0
22,2,芝,1200m,曇,良,8,10,52,23.6,7,470,0,0
23,2,芝,1200m,曇,良,9,2,51,73.8,13,482,+2,0
24,2,芝,1200m,曇,良,10,8,56,211.4,16,448,0,0
25,2,芝,1200m,曇,良,11,16,56,44.9,10,396,-20,0
26,2,芝,1200m,曇,良,12,4,54,56.5,12,460,+22,0
27,2,芝,1200m,曇,良,13,11,51,88.1,14,406,0,0
28,2,芝,1200m,曇,良,14,5,54,30.8,9,398,0,0
29,2,芝,1200m,曇,良,15,13,56,160.6,15,468,0,0
30,2,芝,1200m,曇,良,16,15,51,50.3,11,428,0,0
31,3,ダート,1700m,曇,良,1,9,52,6.5,5,456,+2,190
32,3,ダート,1700m,曇,良,2,8,53,4.4,3,438,0,160
33,3,ダート,1700m,曇,良,3,6,52,24.3,7,458,-4,470
