,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減,複勝
0,1,ダート,1200m,晴,良,1,15,56,2.0,1,462,0,110
1,1,ダート,1200m,晴,良,2,3,56,6.7,2,478,+4,140
2,1,ダート,1200m,晴,良,3,6,56,7.6,4,442,+12,180
3,1,ダート,1200m,晴,良,4,9,56,48.5,10,464,+8,0
4,1,ダート,1200m,晴,良,5,10,54,61.9,12,456,+10,0
5,1,ダート,1200m,晴,良,6,4,56,19.2,6,486,+8,0
6,1,ダート,1200m,晴,良,7,7,56,7.5,3,484,+4,0
7,1,ダート,1200m,晴,良,8,8,51,26.8,8,482,+4,0
8,1,ダート,1200m,晴,良,9,16,54,10.8,5,428,-4,0
9,1,ダート,1200m,晴,良,10,1,55,19.5,7,504,+6,0
10,1,ダート,1200m,晴,良,11,2,56,230.3,15,474,+38,0
11,1,ダート,1200m,晴,良,12,13,54,142.0,14,468,-6,0
12,1,ダート,1200m,晴,良,13,14,51,36.2,9,450,0,0
13,1,ダート,1200m,晴,良,14,12,56,239.2,16,422,+2,0
14,1,ダート,1200m,晴,良,15,11,53,128.5,13,452,0,0
15,1,ダート,1200m,晴,良,16,5,54,48.8,11,442,-4,0
16,2,ダート,1800m,晴,良,1,14,56,3.9,2,468,-4,180
17,2,ダート,1800m,晴,良,2,9,56,108.0,13,480,-8,"2,950"
18,2,ダート,1800m,晴,良,3,2,51,35.2,10,462,-6,700
19,2,ダート,1800m,晴,良,4,11,56,11.9,5,488,+4,0
20,2,ダート,1800m,晴,良,5,16,56,7.3,3,536,-2,0
21,2,ダート,1800m,晴,良,6,13,56,2.8,1,480,+4,0
22,2,ダート,1800m,晴,良,7,8,56,9.2,4,512,+6,0
23,2,ダート,1800m,晴,良,8,3,53,14.8,7,504,0,0
24,2,ダート,1800m,晴,良,9,10,56,33.9,9,462,+2,0
25,2,ダート,1800m,晴,良,10,5,56,176.0,15,516,-6,0
26,2,ダート,1800m,晴,良,11,7,56,265.7,16,448,-2,0
27,2,ダート,1800m,晴,良,12,4,56,12.4,6,482,+10,0
28,2,ダート,1800m,晴,良,13,15,56,149.3,14,446,+2,0
29,2,ダート,1800m,晴,良,14,6,56,17.6,8,512,+4,0
30,2,ダート,1800m,晴,良,15,12,56,72.7,11,480,+6,0
31,2,ダート,1800m,晴,良,16,1,54,100.3,12,444,0,0
32,3,ダート,1800m,晴,良,1,7,54,52.6,9,458,0,970
33,3,ダート,1800m,晴,良,2,2,54,2.8,1,490,0,160
34,3,ダート,1800m,晴,良,3,11,54,5.1,3,478,0,180
35,3,ダート,1800m,晴,良,4,9,54,4.3,2,490,0,0
36,3,ダート,1800m,晴,良,5,10,51,17.8,7,444,0,0
37,3,ダート,1800m,晴,良,6,1,54,8.4,5,460,0,0
38,3,ダート,1800m,晴,良,7,3,54,73.3,10,452,0,0
39,3,ダート,1800m,晴,良,8,13,51,112.6,13,460,0,0
40,3,ダート,1800m,晴,良,9,4,51,150.9,15,420,0,0
41,3,ダート,1800m,晴,良,10,14,54,94.6,12,438,0,0
42,3,ダート,1800m,晴,良,11,5,54,14.6,6,488,0,0
43,3,ダート,1800m,晴,良,12,6,54,86.1,11,492,0,0
44,3,ダート,1800m,晴,良,13,8,54,31.2,8,458,0,0
45,3,ダート,1800m,晴,良,14,12,54,120.1,14,436,0,0
46,3,ダート,1800m,晴,良,15,15,54,7.9,4,484,0,0
47,4,ダート,1200m,晴,良,1,4,56,7.8,5,536,0,200
48,4,ダート,1200m,晴,良,2,6,56,3.7,1,496,+4,160
49,4,ダート,1200m,晴,良,3,10,57,5.9,3,504,+8,230
50,4,ダート,1200m,晴,良,4,8,57,15.8,6,500,0,0
51,4,ダート,1200m,晴,良,5,12,54,64.2,12,508,-10,0
52,4,ダート,1200m,晴,良,6,15,54,26.4,9,498,+2,0
53,4,ダート,1200m,晴,良,7,11,57,4.1,2,472,+4,0
54,4,ダート,1200m,晴,良,8,7,56,6.0,4,510,-8,0
55,4,ダート,1200m,晴,良,9,2,52,47.0,11,504,+4,0
56,4,ダート,1200m,晴,良,10,16,56,19.3,7,484,0,0
57,4,ダート,1200m,晴,良,11,1,51,256.8,16,446,+6,0
58,4,ダート,1200m,晴,良,12,9,56,122.1,14,494,+3,0
59,4,ダート,1200m,晴,良,13,13,54,23.2,8,458,+22,0
60,4,ダート,1200m,晴,良,14,14,54,40.0,10,492,+14,0
61,4,ダート,1200m,晴,良,15,5,52,83.4,13,414,+18,0
62,4,ダート,1200m,晴,良,16,3,54,212.2,15,500,+6,0
63,5,芝,2000m,晴,良,1,9,54,1.4,1,454,+2,110
64,5,芝,2000m,晴,良,2,3,56,9.4,2,500,-2,190
65,5,芝,2000m,晴,良,3,2,56,40.3,8,440,+4,530
66,5,芝,2000m,晴,良,4,6,56,12.1,4,490,-2,0
67,5,芝,2000m,晴,良,5,16,56,16.8,5,472,+48,0
68,5,芝,2000m,晴,良,6,13,56,91.3,12,488,-6,0
69,5,芝,2000m,晴,良,7,5,56,50.4,9,506,+8,0
70,5,芝,2000m,晴,良,8,11,56,84.6,11,422,0,0
71,5,芝,2000m,晴,良,9,1,54,70.6,10,438,0,0
72,5,芝,2000m,晴,良,10,14,56,9.8,3,454,+2,0
73,5,芝,2000m,晴,良,11,4,56,175.7,14,488,+8,0
74,5,芝,2000m,晴,良,12,10,56,17.2,6,460,+4,0
75,5,芝,2000m,晴,良,13,7,56,18.5,7,508,+2,0
76,5,芝,2000m,晴,良,14,12,56,142.6,13,546,+4,0
77,5,芝,2000m,晴,良,15,15,54,363.4,16,398,-8,0
78,5,芝,2000m,晴,良,16,8,56,217.2,15,484,+6,0
79,6,ダート,1800m,晴,良,1,3,56,3.5,2,476,-4,160
80,6,ダート,1800m,晴,良,2,10,54,25.7,8,440,-10,550
81,6,ダート,1800m,晴,良,3,14,53,10.3,5,484,+2,250
82,6,ダート,1800m,晴,良,4,11,56,9.1,4,452,-2,0
83,6,ダート,1800m,晴,良,5,7,56,11.0,6,472,-4,0
84,6,ダート,1800m,晴,良,6,16,56,3.2,1,494,0,0
85,6,ダート,1800m,晴,良,7,2,56,106.7,13,506,-6,0
86,6,ダート,1800m,晴,良,8,6,56,12.2,7,532,-8,0
87,6,ダート,1800m,晴,良,9,4,56,117.9,14,468,-4,0
88,6,ダート,1800m,晴,良,10,5,56,94.3,12,476,-2,0
89,6,ダート,1800m,晴,良,11,9,56,51.2,11,526,-2,0
90,6,ダート,1800m,晴,良,12,12,56,42.4,10,526,-2,0
91,6,ダート,1800m,晴,良,13,13,56,36.2,9,492,+10,0
92,6,ダート,1800m,晴,良,14,8,56,187.7,15,500,0,0
93,6,ダート,1800m,晴,良,15,1,54,304.7,16,434,-4,0
94,6,ダート,1800m,晴,良,16,15,56,7.6,3,472,-2,0
95,7,芝,2000m,晴,良,1,9,53,11.7,4,486,+2,370
96,7,芝,2000m,晴,良,2,14,54,52.1,9,478,0,"1,210"
97,7,芝,2000m,晴,良,3,6,55,126.8,12,456,+4,"2,850"
98,7,芝,2000m,晴,良,4,12,54,12.5,6,480,+6,0
99,7,芝,2000m,晴,良,5,3,56,12.5,5,424,+2,0
100,7,芝,2000m,晴,良,6,4,57,10.3,3,478,+6,0
101,7,芝,2000m,晴,良,7,1,57,1.8,1,470,-4,0
102,7,芝,2000m,晴,良,8,16,56,38.6,7,504,-4,0
103,7,芝,2000m,晴,良,9,2,57,41.2,8,528,+6,0
104,7,芝,2000m,晴,良,10,13,56,4.0,2,514,-2,0
105,7,芝,2000m,晴,良,11,5,55,88.1,11,446,+6,0
106,7,芝,2000m,晴,良,12,11,57,182.8,14,472,+20,0
107,7,芝,2000m,晴,良,13,8,53,126.9,13,420,-10,0
108,7,芝,2000m,晴,良,14,7,52,230.3,15,484,-16,0
109,7,芝,2000m,晴,良,15,15,57,247.9,16,460,+16,0
110,7,芝,2000m,晴,良,16,10,55,55.9,10,556,+22,0
111,8,ダート,1800m,晴,良,1,10,51,5.6,3,522,+4,190
112,8,ダート,1800m,晴,良,2,7,56,3.5,2,468,0,150
113,8,ダート,1800m,晴,良,3,8,56,17.2,6,520,+6,350
114,8,ダート,1800m,晴,良,4,9,57,62.4,12,460,0,0
115,8,ダート,1800m,晴,良,5,14,57,3.1,1,502,0,0
116,8,ダート,1800m,晴,良,6,2,51,35.6,10,476,+8,0
117,8,ダート,1800m,晴,良,7,11,56,21.4,7,508,+2,0
118,8,ダート,1800m,晴,良,8,5,57,10.2,5,510,+12,0
119,8,ダート,1800m,晴,良,9,4,54,290.7,16,458,0,0
120,8,ダート,1800m,晴,良,10,1,56,32.9,9,500,+4,0
121,8,ダート,1800m,晴,良,11,12,56,82.8,13,502,+12,0
122,8,ダート,1800m,晴,良,12,3,55,98.4,14,482,+12,0
123,8,ダート,1800m,晴,良,13,16,57,210.5,15,474,+8,0
124,8,ダート,1800m,晴,良,14,6,57,9.7,4,538,+2,0
125,8,ダート,1800m,晴,良,15,13,54,39.3,11,484,0,0
126,8,ダート,1800m,晴,良,16,15,56,27.8,8,482,+10,0
127,9,ダート,1800m,晴,良,1,14,57,35.3,10,494,-4,790
128,9,ダート,1800m,晴,良,2,6,57,12.6,7,486,-2,400
129,9,ダート,1800m,晴,良,3,5,55,21.9,9,464,-2,720
130,9,ダート,1800m,晴,良,4,16,56,7.4,4,458,+8,0
131,9,ダート,1800m,晴,良,5,8,57,8.6,6,512,+8,0
132,9,ダート,1800m,晴,良,6,7,57,157.6,14,552,+6,0
133,9,ダート,1800m,晴,良,7,2,57,7.6,5,470,-6,0
134,9,ダート,1800m,晴,良,8,1,57,119.8,13,546,+4,0
135,9,ダート,1800m,晴,良,9,4,56,4.6,2,502,-2,0
136,9,ダート,1800m,晴,良,10,3,57,46.7,11,546,-4,0
137,9,ダート,1800m,晴,良,11,13,57,83.9,12,464,+2,0
138,9,ダート,1800m,晴,良,12,9,57,4.4,1,502,0,0
139,9,ダート,1800m,晴,良,13,12,57,5.9,3,526,+10,0
140,9,ダート,1800m,晴,良,14,11,57,200.5,15,502,-12,0
141,9,ダート,1800m,晴,良,15,15,57,17.9,8,518,+2,0
142,9,ダート,1800m,晴,良,16,10,57,258.0,16,518,+4,0
143,10,芝,外1600m,晴,良,1,4,56,1.6,1,454,+12,110
144,10,芝,外1600m,晴,良,2,7,56,3.0,2,522,+10,110
145,10,芝,外1600m,晴,良,3,2,56,11.1,3,430,0,150
146,10,芝,外1600m,晴,良,4,9,56,39.2,7,454,0,0
147,10,芝,外1600m,晴,良,5,3,56,26.2,6,486,-6,0
148,10,芝,外1600m,晴,良,6,8,56,16.3,5,474,-2,0
149,10,芝,外1600m,晴,良,7,5,56,11.6,4,478,+14,0
150,10,芝,外1600m,晴,良,8,1,56,83.5,8,454,0,0
151,11,芝,2000m,晴,良,1,6,55,2.5,1,522,+8,130
152,11,芝,2000m,晴,良,2,1,56,4.9,2,480,+10,170
153,11,芝,2000m,晴,良,3,11,54,36.3,10,504,+4,540
154,11,芝,2000m,晴,良,4,7,56,9.3,4,530,+14,0
