,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減,複勝
0,1,0,1200,0,0,1,1,54.0,5.7,4,422,6,160
1,1,0,1200,0,0,2,6,54.0,5.5,3,446,10,170
2,1,0,1200,0,0,3,12,54.0,3.5,1,426,0,130
3,1,0,1200,0,0,4,4,54.0,31.1,8,462,-2,0
4,1,0,1200,0,0,5,8,54.0,4.5,2,412,14,0
5,1,0,1200,0,0,6,11,54.0,7.5,5,452,2,0
6,1,0,1200,0,0,7,16,56.0,48.0,10,404,8,0
7,1,0,1200,0,0,8,10,54.0,94.9,13,430,2,0
8,1,0,1200,0,0,9,2,53.0,130.6,15,444,0,0
9,1,0,1200,0,0,10,5,54.0,205.8,16,428,10,0
10,1,0,1200,0,0,11,3,51.0,29.3,7,418,8,0
11,1,0,1200,0,0,12,15,51.0,12.6,6,436,0,0
12,1,0,1200,0,0,13,9,54.0,35.0,9,450,4,0
13,1,0,1200,0,0,14,14,52.0,53.5,11,436,10,0
14,1,0,1200,0,0,15,13,54.0,121.2,14,414,-2,0
15,1,0,1200,0,0,16,7,54.0,53.7,12,462,-18,0
16,2,1,1000,0,0,1,2,54.0,3.4,2,474,18,130
17,2,1,1000,0,0,2,11,54.0,2.5,1,452,8,120
18,2,1,1000,0,0,3,4,51.0,6.4,3,458,-6,140
19,2,1,1000,0,0,4,1,54.0,9.1,4,516,14,0
20,2,1,1000,0,0,5,3,54.0,20.8,8,432,-2,0
21,2,1,1000,0,0,6,7,53.0,151.1,11,434,-6,0
22,2,1,1000,0,0,7,10,51.0,13.2,6,462,2,0
23,2,1,1000,0,0,8,8,56.0,56.4,9,436,-4,0
24,2,1,1000,0,0,9,5,54.0,207.1,12,482,-12,0
25,2,1,1000,0,0,10,12,54.0,12.4,5,492,-12,0
26,2,1,1000,0,0,11,9,55.0,17.1,7,424,-4,0
27,2,1,1000,0,0,12,6,54.0,88.6,10,488,-2,0
28,3,1,1700,0,0,1,7,56.0,7.0,5,496,4,180
29,3,1,1700,0,0,2,5,54.0,7.2,6,450,12,180
30,3,1,1700,0,0,3,4,56.0,2.8,1,464,4,130
31,3,1,1700,0,0,4,2,53.0,5.9,3,472,-8,0
32,3,1,1700,0,0,5,6,56.0,19.5,7,436,2,0
33,3,1,1700,0,0,6,3,53.0,47.0,9,408,8,0
34,3,1,1700,0,0,7,9,56.0,6.3,4,490,10,0
35,3,1,1700,0,0,8,8,56.0,5.2,2,532,8,0
36,3,1,1700,0,0,9,1,54.0,193.4,10,458,-2,0
37,3,1,1700,0,0,10,10,56.0,44.3,8,434,-10,0
38,4,0,2000,0,0,1,10,54.0,8.5,3,462,-2,170
39,4,0,2000,0,0,2,7,56.0,2.6,1,462,-4,110
40,4,0,2000,0,0,3,5,54.0,2.9,2,460,10,120
41,4,0,2000,0,0,4,2,56.0,17.2,6,498,-8,0
42,4,0,2000,0,0,5,4,56.0,77.4,12,450,-8,0
43,4,0,2000,0,0,6,1,56.0,58.3,10,460,2,0
44,4,0,2000,0,0,7,6,56.0,12.9,5,420,2,0
45,4,0,2000,0,0,8,14,56.0,11.4,4,450,-4,0
46,4,0,2000,0,0,9,3,54.0,22.1,8,414,-12,0
47,4,0,2000,0,0,10,11,56.0,17.4,7,476,0,0
48,4,0,2000,0,0,11,9,54.0,43.3,9,418,-6,0
49,4,0,2000,0,0,12,12,53.0,116.6,14,402,-6,0
50,4,0,2000,0,0,13,8,56.0,79.5,13,474,10,0
51,4,0,2000,0,0,14,13,56.0,388.2,15,446,4,0
52,4,0,2000,0,0,15,15,54.0,60.8,11,442,-4,0
53,5,0,1000,0,0,1,2,54.0,39.8,5,456,0,370
54,5,0,1000,0,0,2,1,54.0,1.4,1,418,0,110
55,5,0,1000,0,0,3,8,54.0,4.5,2,468,0,120
56,5,0,1000,0,0,4,4,54.0,7.0,3,446,0,0
57,5,0,1000,0,0,5,3,54.0,40.5,6,408,0,0
58,5,0,1000,0,0,6,5,51.0,14.7,4,426,0,0
59,5,0,1000,0,0,7,7,54.0,46.2,7,434,0,0
60,5,0,1000,0,0,8,9,54.0,61.6,8,436,0,0
61,5,0,1000,0,0,9,6,54.0,94.3,9,410,0,0
62,6,1,1700,0,0,1,6,56.0,23.9,6,444,0,380
63,6,1,1700,0,0,2,11,56.0,7.0,3,470,8,190
64,6,1,1700,0,0,3,9,56.0,1.7,1,520,10,140
65,6,1,1700,0,0,4,3,54.0,10.0,5,448,10,0
66,6,1,1700,0,0,5,1,56.0,161.3,12,458,-4,0
67,6,1,1700,0,0,6,10,56.0,102.6,10,466,-4,0
68,6,1,1700,0,0,7,2,53.0,67.7,9,430,-2,0
69,6,1,1700,0,0,8,5,56.0,6.5,2,492,-4,0
70,6,1,1700,0,0,9,4,56.0,124.0,11,460,6,0
71,6,1,1700,0,0,10,8,56.0,7.2,4,458,-4,0
72,6,1,1700,0,0,11,12,56.0,36.3,8,480,4,0
73,6,1,1700,0,0,12,7,56.0,33.6,7,442,-2,0
74,7,1,1000,0,0,1,9,57.0,2.6,2,470,-4,120
75,7,1,1000,0,0,2,3,54.0,35.8,10,472,10,510
76,7,1,1000,0,0,3,2,54.0,2.4,1,484,-4,150
77,7,1,1000,0,0,4,5,54.0,33.8,9,514,0,0
78,7,1,1000,0,0,5,10,57.0,28.2,7,472,-4,0
79,7,1,1000,0,0,6,1,55.0,5.9,3,442,4,0
80,7,1,1000,0,0,7,7,52.0,28.6,8,446,10,0
81,7,1,1000,0,0,8,4,55.0,137.3,12,484,-10,0
82,7,1,1000,0,0,9,6,54.0,16.4,4,556,2,0
83,7,1,1000,0,0,10,11,51.0,17.7,5,492,8,0
84,7,1,1000,0,0,11,12,54.0,27.1,6,444,0,0
85,7,1,1000,0,0,12,8,54.0,96.2,11,464,4,0
86,8,0,1200,0,0,1,7,55.0,3.0,1,488,20,150
87,8,0,1200,0,0,2,5,54.0,14.3,7,458,2,300
88,8,0,1200,0,0,3,15,52.0,5.1,2,472,10,150
89,8,0,1200,0,0,4,8,57.0,13.3,6,454,-4,0
90,8,0,1200,0,0,5,14,56.0,16.2,8,506,4,0
91,8,0,1200,0,0,6,1,55.0,12.3,4,500,8,0
92,8,0,1200,0,0,7,3,56.0,299.9,16,438,6,0
93,8,0,1200,0,0,8,13,55.0,36.2,11,408,16,0
94,8,0,1200,0,0,9,12,54.0,12.5,5,490,0,0
95,8,0,1200,0,0,10,16,55.0,95.1,14,456,2,0
96,8,0,1200,0,0,11,4,52.0,45.5,12,438,22,0
97,8,0,1200,0,0,12,2,54.0,5.3,3,446,4,0
98,8,0,1200,0,0,13,11,55.0,23.3,9,444,-8,0
99,8,0,1200,0,0,14,9,49.0,25.1,10,406,0,0
100,8,0,1200,0,0,15,10,57.0,272.4,15,474,0,0
101,8,0,1200,0,0,16,6,55.0,49.0,13,424,-2,0
102,9,1,1700,0,0,1,3,57.0,11.5,5,496,4,340
103,9,1,1700,0,0,2,10,54.0,5.4,2,512,4,210
104,9,1,1700,0,0,3,12,52.0,6.7,4,438,-12,220
105,9,1,1700,0,0,4,4,57.0,16.7,7,502,6,0
106,9,1,1700,0,0,5,9,55.0,2.9,1,458,6,0
107,9,1,1700,0,0,6,5,57.0,6.6,3,488,2,0
108,9,1,1700,0,0,7,1,51.0,24.4,9,446,4,0
109,9,1,1700,0,0,8,13,57.0,83.8,13,496,-4,0
110,9,1,1700,0,0,9,2,55.0,18.6,8,456,-14,0
111,9,1,1700,0,0,10,6,57.0,25.6,10,480,-16,0
112,9,1,1700,0,0,11,14,57.0,221.9,14,448,0,0
113,9,1,1700,0,0,12,11,52.0,11.6,6,466,-6,0
114,9,1,1700,0,0,13,8,55.0,80.3,12,520,-4,0
115,9,1,1700,0,0,14,7,57.0,29.0,11,474,-6,0
116,10,0,2600,0,0,1,12,57.0,21.3,9,464,4,590
117,10,0,2600,0,0,2,1,53.0,28.8,10,486,-2,780
118,10,0,2600,0,0,3,9,57.0,2.9,1,440,-4,160
119,10,0,2600,0,0,4,5,54.0,10.6,6,466,0,0
120,10,0,2600,0,0,5,4,57.0,3.8,2,444,2,0
121,10,0,2600,0,0,6,7,57.0,16.9,7,506,2,0
122,10,0,2600,0,0,7,10,57.0,28.9,11,464,0,0
123,10,0,2600,0,0,8,3,55.0,65.0,12,470,4,0
124,10,0,2600,0,0,9,6,57.0,9.6,4,482,-2,0
125,10,0,2600,0,0,10,8,55.0,8.1,3,470,6,0
126,10,0,2600,0,0,11,2,53.0,10.1,5,466,10,0
127,10,0,2600,0,0,12,11,55.0,20.3,8,440,2,0
128,11,0,1200,0,0,1,16,52.0,6.3,2,474,-4,180
129,11,0,1200,0,0,2,12,57.0,1.7,1,500,0,110
130,11,0,1200,0,0,3,13,55.0,15.9,6,460,0,260
131,11,0,1200,0,0,4,10,57.0,118.5,13,494,-22,0
