,人気,馬番,斤量,単勝
,5,1,58,14.0
,7,2,58,21.1
,6,3,58,16.9
,8,4,58,22.7
,4,5,58,10.4
,12,6,58,63.8
,2,7,58,4.6
,3,8,58,5.9
,11,9,58,45.7
,13,10,58,67.9
,9,11,58,38.9
,10,12,58,39.4
,14,13,58,167.8
,1,14,58,2.2
