,人気,馬番,斤量,単勝
,1,1,57,2.9
,9,2,57,41.7
,13,3,57,67.8
,15,4,57,142.5
,2,5,57,3.9
,17,6,57,218.1
,3,7,57,4.2
,18,8,57,219.1
,12,9,57,66.5
,16,10,57,194.1
,5,11,57,12.7
,7,12,57,19.5
,6,13,57,16.0
,10,14,57,49.2
,14,15,57,100.3
,8,16,57,33.3
,4,17,57,12.4
,11,18,57,55.4
