,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減,複勝
727,9,1,1700,0,1,4,1,55.0,3.0,1,420,4,0
727,2,1,1800,0,0,8,13,56.0,245.0,13,462,2,0
727,11,0,1800,0,0,9,9,52.0,130.2,16,492,4,0
727,12,0,2000,0,1,7,9,55.0,108.8,8,468,6,0
728,8,1,1150,0,0,9,1,52.0,156.3,15,442,-6,0
728,10,0,1600,0,0,7,9,55.0,21.4,7,500,2,0
728,9,1,1700,0,1,5,2,55.0,3.6,2,482,14,0
728,2,1,1800,0,0,9,2,56.0,171.2,12,448,0,0
728,6,1,1800,0,1,3,3,56.0,7.7,5,496,-4,0
728,11,0,1800,0,0,10,10,56.0,28.8,10,492,-4,0
728,12,0,2000,0,1,8,4,55.0,21.3,5,474,0,0
729,8,1,1150,0,0,10,7,52.0,7.3,3,408,-12,0
729,10,0,1600,0,0,8,3,55.0,16.7,6,470,8,0
729,9,1,1700,0,1,6,7,49.0,15.7,6,486,14,0
729,2,1,1800,0,0,10,8,56.0,9.7,5,502,-2,0
729,6,1,1800,0,1,4,4,56.0,7.1,3,518,4,0
729,11,0,1800,0,0,11,4,54.0,9.1,5,498,-6,0
729,12,0,2000,0,1,9,8,57.0,237.3,9,438,-2,0
730,1,0,1200,0,1,1,4,54.0,6.1,3,442,0,150
730,8,1,1150,0,0,11,14,55.0,160.7,16,444,-10,0
730,10,0,1600,0,0,9,6,55.0,143.5,9,458,-4,0
730,9,1,1700,0,1,7,6,54.0,126.3,12,466,2,0
730,2,1,1800,0,0,11,1,56.0,94.0,11,556,0,0
730,6,1,1800,0,1,5,2,56.0,64.8,7,450,0,0
730,11,0,1800,0,0,12,12,57.0,83.4,14,500,-10,0
731,11,1,1400,0,1,1,14,56.0,5.8,4,480,2,270
731,1,0,1200,0,1,2,1,54.0,1.8,1,474,2,110
731,8,1,1150,0,0,12,6,55.0,153.2,14,420,0,0
731,9,1,1700,0,1,8,13,55.0,5.1,3,396,4,0
731,2,1,1800,0,0,12,15,56.0,17.5,7,484,-4,0
731,6,1,1800,0,1,6,6,56.0,50.6,6,480,8,0
731,11,0,1800,0,0,13,7,56.0,34.6,11,518,-12,0
732,1,0,1200,0,1,3,8,53.0,155.3,7,414,2,1780
732,11,1,1400,0,1,2,8,57.0,33.4,9,458,0,880
732,8,1,1150,0,0,13,5,55.0,29.2,10,492,-4,0
732,9,1,1700,0,1,9,3,55.0,8.1,5,450,6,0
732,2,1,1800,0,0,13,16,56.0,43.9,10,496,-2,0
732,6,1,1800,0,1,7,7,56.0,7.2,4,526,-6,0
732,11,0,1800,0,0,14,14,54.0,16.1,6,456,-4,0
733,7,0,1800,0,0,1,2,56.0,58.7,10,494,4,1150
733,11,1,1400,0,1,3,1,56.0,15.0,6,492,-8,370
733,8,1,1150,0,0,14,11,55.0,98.9,13,454,-2,0
733,1,0,1200,0,1,4,9,54.0,26.9,4,500,2,0
733,9,1,1700,0,1,10,4,54.0,123.5,11,460,-2,0
733,2,1,1800,0,0,14,7,53.0,307.6,15,456,8,0
733,11,0,1800,0,0,15,11,55.0,26.6,9,546,8,0
734,7,0,1800,0,0,2,16,55.0,12.1,6,454,8,380
734,12,0,1200,0,0,1,12,57.0,7.9,4,496,0,280
734,8,1,1150,0,0,15,3,55.0,84.4,12,444,-8,0
734,1,0,1200,0,1,5,6,54.0,191.1,9,438,8,0
734,11,1,1400,0,1,4,9,56.0,2.7,1,530,-6,0
734,9,1,1700,0,1,11,9,55.0,221.2,13,464,9,0
734,2,1,1800,0,0,15,4,56.0,314.6,16,512,-4,0
735,12,0,1200,0,0,2,13,57.0,20.1,8,494,0,430
735,7,0,1800,0,0,3,11,54.0,9.7,5,476,24,390
735,8,1,1150,0,0,16,4,55.0,27.8,8,460,10,0
735,1,0,1200,0,1,6,3,54.0,2.4,2,418,0,0
735,11,1,1400,0,1,5,11,56.0,5.6,3,488,2,0
735,9,1,1700,0,1,12,5,54.0,113.4,10,488,6,0
735,2,1,1800,0,0,16,11,56.0,302.9,14,500,6,0
