,距離,馬場,着順,馬番,斤量,単勝,人気,増減,前着順,前距離,前馬番,前人気,複勝
0,1800,0,1,1,54,1.4,1,-16,3,1800,4,2,110
1,1800,0,2,3,54,3.5,2,-8,2,1800,5,2,110
2,1800,0,3,4,51,46.6,6,6,10,1400,1,2,470
3,1800,0,4,9,51,56.8,7,-8,4,1800,4,7,0
4,1800,0,5,5,54,140.3,9,0,9,1800,8,7,0
5,1800,0,6,8,54,9.7,3,8,3,1800,11,12,0
6,1800,0,7,2,54,114.7,8,2,5,1800,2,5,0
7,1800,0,8,7,54,26.1,5,-4,5,1800,9,8,0
8,1800,0,9,6,54,16.4,4,0,4,1400,13,3,0
9,2000,0,1,10,54,9.5,3,-2,2,2000,5,7,380
10,2000,0,2,6,54,5.7,2,-2,3,2000,10,4,320
11,2000,0,3,8,56,9.8,4,0,5,2000,10,5,420
12,2000,0,4,7,56,1.6,1,-6,2,1800,8,1,0
13,2000,0,5,3,54,27.3,7,18,11,1800,10,9,0
14,2000,0,6,14,56,252.4,14,-22,14,1600,12,12,0
15,2000,0,7,12,56,14.1,6,-6,4,2000,7,11,0
16,2000,0,8,11,53,10,5,-2,5,2000,12,7,0
17,2000,0,9,2,54,87.4,9,-4,8,2600,4,8,0
18,2000,0,10,1,54,174.7,11,-10,10,1200,3,11,0
19,2000,0,11,9,53,84.2,8,2,9,1700,6,6,0
20,2000,0,12,5,54,186.4,12,0,13,1600,15,12,0
21,2000,0,13,13,56,100.8,10,0,5,2000,13,10,0
22,2000,0,14,4,56,223.2,13,-4,12,2000,17,15,0
23,1500,0,1,1,54,10.7,4,0,5,1500,1,4,230
24,1500,0,2,8,54,67,8,0,5,1500,8,8,790
25,1500,0,3,3,54,1.5,1,0,5,1500,3,1,110
26,1500,0,4,4,54,7,3,0,5,1500,4,3,0
27,1500,0,5,2,54,5.2,2,0,5,1500,2,2,0
28,1500,0,6,5,54,18.8,5,0,5,1500,5,5,0
29,1500,0,7,9,54,26.9,6,0,5,1500,9,6,0
30,1500,0,8,10,54,42.7,7,0,5,1500,10,7,0
31,1500,0,9,7,54,106.1,10,0,5,1500,7,10,0
32,1200,0,1,2,52,4.3,3,-4,2,1200,3,12,170
33,1200,0,2,6,55,6.1,4,-6,3,1200,4,4,190
34,1200,0,3,5,49,21.6,8,-6,8,1200,7,6,400
35,1200,0,4,1,55,21.3,7,-2,8,1200,9,5,0
36,1200,0,5,8,52,3.3,1,2,3,1400,4,1,0
37,1200,0,6,10,49,13.3,6,-4,6,1200,6,8,0
38,1200,0,7,9,52,9.1,5,-2,7,1400,3,4,0
39,1200,0,8,12,52,106.3,10,-12,12,2000,1,12,0
40,1200,0,9,11,54,69.8,9,-6,11,1200,15,10,0
41,1200,0,10,4,55,3.9,2,-10,5,1200,1,1,0
42,1200,0,11,7,55,148,11,0,12,1200,6,15,0
43,1500,0,1,5,54,2.1,1,-6,10,1600,13,6,120
44,1500,0,2,9,52,4.5,3,14,4,1800,1,6,150
45,1500,0,3,1,52,22.6,7,4,9,1600,3,10,300
46,1500,0,4,7,55,6.9,4,-6,7,1800,11,7,0
47,1500,0,5,4,57,184.7,10,-14,13,1700,6,13,0
48,1500,0,6,10,52,4,2,-14,11,2000,8,3,0
49,1500,0,7,6,55,22.3,6,8,9,1400,9,16,0
50,1500,0,8,3,54,31.3,8,14,12,1400,5,9,0
51,1500,0,9,2,57,18.7,5,-6,10,1200,3,7,0
52,1500,0,10,8,55,146.1,9,-6,12,1000,8,12,0
53,1800,0,1,9,52,10.2,4,8,7,1800,7,5,350
54,1800,0,2,3,55,40.6,11,-4,11,2000,13,9,860
55,1800,0,3,5,54,5.6,2,0,8,2000,1,2,210
56,1800,0,4,8,57,1.8,1,6,3,2000,9,1,0
57,1800,0,5,10,54,9.2,3,-6,9,2000,1,11,0
58,1800,0,6,1,54,29.5,8,-10,1,1800,1,5,0
59,1800,0,7,4,55,16,6,-14,11,2000,15,10,0
60,1800,0,8,7,56,37,9,-14,9,2000,5,7,0
61,1800,0,9,2,52,27,7,-8,6,2000,6,8,0
62,1800,0,10,6,56,45.7,13,-10,8,2400,8,7,0
63,1800,0,11,13,54,15.6,5,-4,4,2000,2,15,0
64,1800,0,12,14,54,56.3,14,-8,12,2000,8,13,0
65,1800,0,13,11,52,37.3,10,0,14,2000,6,14,0
66,1800,0,14,12,54,45.2,12,0,1,2000,9,9,0
67,2600,0,1,1,54,1.6,1,6,1,2000,1,1,110
68,2600,0,2,2,57,18,5,6,4,1800,2,5,250
69,2600,0,3,5,57,21.4,6,-4,4,2600,8,7,260
70,2600,0,4,8,54,4.4,2,-4,3,2600,1,1,0
71,2600,0,5,7,57,9.8,4,4,1,2400,8,8,0
72,2600,0,6,4,57,46.8,7,-20,1,2600,2,3,0
73,2600,0,7,9,55,54,8,-8,10,2600,5,8,0
74,2600,0,8,6,57,6.6,3,-8,2,2400,1,6,0
75,2600,0,9,3,57,71.4,9,2,9,2400,2,8,0
76,1200,0,1,1,54,1.3,1,-2,2,1200,4,1,110
77,1200,0,2,3,54,12.6,4,-4,4,1200,1,3,270
78,1200,0,3,5,53,51.7,7,-8,5,1200,7,8,
79,1200,0,4,6,54,7.5,3,4,4,1200,7,6,0
80,1200,0,5,7,54,5.7,2,2,3,1200,3,3,0
81,1200,0,6,2,54,17.7,5,-8,8,1400,8,4,0
82,1200,0,7,4,54,46.7,6,-8,6,1200,6,5,0
83,1500,0,1,7,56,3,1,-2,4,1800,7,2,120
84,1500,0,2,5,53,5,3,0,5,1600,3,3,150
85,1500,0,3,10,54,8.9,5,-4,5,1200,4,1,210
86,1500,0,4,12,56,23.2,7,0,5,1000,11,4,0
87,1500,0,5,6,54,5.3,4,0,4,1400,2,9,0
88,1500,0,6,1,56,32.5,9,-16,7,2000,2,9,0
89,1500,0,7,8,54,5,2,16,2,2000,11,2,0
90,1500,0,8,3,54,28.9,8,2,5,1200,11,8,0
91,1500,0,9,13,54,14.2,6,-6,3,1200,13,4,0
92,1500,0,10,4,54,131.7,11,16,10,2000,2,14,0
93,1500,0,11,9,51,152,12,-12,11,1800,10,9,0
94,1500,0,12,2,51,210.6,13,8,10,1600,1,15,0
95,1500,0,13,11,54,34.7,10,4,7,1600,4,8,0
96,1800,0,1,7,54,1.8,1,0,5,1800,7,1,110
97,1800,0,2,1,54,7.4,3,0,5,1800,1,3,160
98,1800,0,3,4,54,13,6,0,5,1800,4,6,220
99,1800,0,4,3,54,122.6,9,0,5,1800,3,9,0
100,1800,0,5,9,54,9.3,5,0,5,1800,9,5,0
101,1800,0,6,8,54,7.8,4,0,5,1800,8,4,0
102,1800,0,7,5,54,6,2,0,5,1800,5,2,0
103,1800,0,8,2,54,52.4,7,0,5,1800,2,7,0
104,1800,0,9,6,53,59.5,8,0,5,1800,6,8,0
105,2000,0,1,4,52,3.1,2,-4,4,2000,8,1,110
106,2000,0,2,7,49,7.9,4,0,7,2000,3,7,160
107,2000,0,3,1,54,2,1,-6,4,1800,9,2,110
108,2000,0,4,5,57,24.5,6,6,6,1700,11,7,0
109,2000,0,5,6,54,5.8,3,-2,6,2000,7,2,0
110,2000,0,6,3,54,16.6,5,-4,7,2000,4,9,0
111,2000,0,7,2,57,66.1,8,2,10,1800,8,9,0
112,2000,0,8,9,56,61.2,7,-4,11,1700,6,11,0
113,2000,0,9,8,57,110.5,9,-12,10,2400,5,9,0
114,1800,0,1,1,57,3.6,3,-2,3,2200,6,5,160
115,1800,0,2,5,54,2.9,2,14,5,1600,6,1,160
116,1800,0,3,4,54,2,1,-4,1,1800,13,1,
117,1800,0,4,2,54,12.3,4,-8,11,1800,4,4,0
118,1800,0,5,7,52,19.5,5,-8,10,2000,11,6,0
119,1800,0,6,3,57,147.5,7,6,14,1600,8,11,0
120,1800,0,7,6,57,98.3,6,-4,7,2000,4,10,0
121,1500,0,1,1,55,8.4,4,0,13,1400,1,4,240
122,1500,0,2,9,57,19,7,10,9,1400,2,5,300
123,1500,0,3,4,57,2.5,1,12,9,1600,11,7,130
124,1500,0,4,6,57,10.2,5,4,5,1600,13,2,0
125,1500,0,5,2,52,13.1,6,4,12,1200,7,5,0
126,1500,0,6,8,57,4.2,3,4,4,1200,2,3,0
127,1500,0,7,3,57,30.9,8,0,8,1400,15,12,0
128,1500,0,8,7,55,4.1,2,0,3,1600,3,6,0
129,1500,0,9,5,57,204.7,9,4,12,1200,8,13,0
130,1800,0,1,13,56,2.3,1,10,8,1600,7,6,130
131,1800,0,2,6,55,8.8,5,-6,3,2000,15,5,260
132,1800,0,3,14,55,48.6,9,-6,2,2000,14,3,610
133,1800,0,4,12,55,8.3,4,10,2,1800,9,3,0
134,1800,0,5,11,55,20.4,8,6,3,1800,8,3,0
135,1800,0,6,1,55,6.6,2,2,1,2000,11,1,0
136,1800,0,7,3,56,6.6,3,2,15,1600,18,9,0
137,1800,0,8,5,51,13.6,7,2,17,2400,17,16,0
138,1800,0,9,7,55,77.7,12,-8,3,1800,16,4,0
139,1800,0,10,8,55,69.6,10,-8,13,2000,4,4,0
140,1800,0,11,10,55,158.7,14,-12,10,1800,16,14,0
141,1800,0,12,9,55,106.4,13,8,1,1800,5,1,0
142,1800,0,13,2,55,69.7,11,4,1,1800,3,2,0
143,1800,0,14,4,55,10.7,6,2,3,1800,10,2,0
144,1200,0,1,4,54,5.3,2,8,3,1200,9,2,160
145,1200,0,2,15,54,2.3,1,-6,2,1200,15,2,110
146,1200,0,3,2,54,21.1,6,0,4,1200,2,10,240
147,1200,0,4,1,51,49.5,10,-4,10,1800,1,10,0
148,1200,0,5,5,56,6.3,4,-4,8,1200,2,1,0
149,1200,0,6,11,56,13.6,5,-10,9,1200,7,7,0
150,1200,0,7,7,54,95.3,13,-2,10,1200,11,14,0
151,1200,0,8,6,54,70,12,-4,8,1200,13,11,0
152,1200,0,9,8,55,26.4,8,4,3,1200,3,4,0
153,1200,0,10,3,53,136.4,14,0,10,1400,15,10,0
154,1200,0,11,9,54,311.7,15,-8,10,1000,10,11,0
155,1200,0,12,16,54,5.6,3,-2,9,1400,14,3,0
156,1200,0,13,13,56,23.9,7,0,12,1600,14,8,0
157,1200,0,14,14,54,55.2,11,-14,6,1200,6,6,0
158,1200,0,15,10,56,48.2,9,-8,8,1200,8,1,0
159,1200,0,16,12,56,319.7,16,-10,11,1400,11,14,0
160,1200,0,1,14,54,9.9,3,0,5,1200,14,3,400
161,1200,0,2,5,54,51.9,10,0,5,1200,5,10,1210
162,1200,0,3,6,54,64.9,11,0,5,1200,6,11,1580
163,1200,0,4,8,54,13.4,4,0,5,1200,8,4,0
164,1200,0,5,11,51,122.2,13,0,5,1200,11,13,0
165,1200,0,6,10,54,34.8,9,0,5,1200,10,9,0
166,1200,0,7,9,54,1.7,1,0,5,1200,9,1,0
167,1200,0,8,2,54,15.5,5,0,5,1200,2,5,0
168,1200,0,8,3,54,67.1,12,0,5,1200,3,12,0
169,1200,0,10,1,54,24.5,8,0,5,1200,1,8,0
170,1200,0,11,4,54,20.4,6,0,5,1200,4,6,0
171,1200,0,12,13,54,7.2,2,0,5,1200,13,2,0
172,1200,0,13,12,53,22.7,7,0,5,1200,12,7,0
173,1200,0,14,7,51,235.4,14,0,5,1200,7,14,0
174,2000,0,1,5,53,5.9,3,-2,3,2000,9,8,150
175,2000,0,2,10,56,5.2,2,0,4,2000,6,6,140
176,2000,0,3,1,55,2.1,1,-2,2,1800,3,3,120
177,2000,0,4,8,56,6.1,4,8,3,2600,10,2,0
178,2000,0,5,13,54,85.7,12,-4,9,1200,14,10,0
179,2000,0,6,6,56,47.8,9,4,11,2600,2,12,0
180,2000,0,7,11,56,26.1,7,-14,5,2000,7,5,0
181,2000,0,8,2,56,76.4,10,0,5,1700,6,6,0
182,2000,0,9,3,56,23.2,6,-4,3,1800,8,11,0
183,2000,0,10,12,56,11,5,-2,6,1800,12,4,0
184,2000,0,11,7,56,81,11,-8,9,1800,2,8,0
185,2000,0,12,4,56,40.2,8,-2,7,2000,8,9,0
186,2000,0,13,9,56,217.3,13,-4,8,1700,3,9,0
187,1800,0,1,8,55,28.6,8,-8,5,2000,10,4,400
188,1800,0,2,4,55,6.1,3,6,4,2000,7,5,170
189,1800,0,3,5,52,2.7,1,16,3,2200,3,3,140
190,1800,0,4,2,49,57.1,10,-4,1,1700,2,2,0
191,1800,0,5,3,52,26.5,7,2,3,1500,1,7,0
192,1800,0,6,10,52,8.8,5,-18,8,1800,9,5,0
193,1800,0,7,1,49,14.7,6,6,1,1800,5,9,0
194,1800,0,8,6,51,3.8,2,6,2,2000,1,5,0
195,1800,0,9,7,52,32.4,9,16,9,2400,1,8,0
196,1800,0,10,11,52,152.6,11,8,14,1800,7,16,0
197,1800,0,11,9,52,6.1,4,14,8,1800,7,2,0
198,2000,0,1,7,54,1.3,1,-6,6,2000,12,1,110
199,2000,0,2,2,57,4.4,2,2,1,1800,7,1,110
200,2000,0,3,1,55,14.8,3,14,4,2000,15,11,190
201,2000,0,4,6,54,22.8,6,4,4,2000,5,4,0
202,2000,0,5,9,54,34.8,8,-8,5,2000,5,8,0
203,2000,0,6,5,56,20.7,5,-2,4,2000,11,3,0
204,2000,0,7,3,57,15.3,4,2,3,2200,6,5,0
205,2000,0,8,4,54,29.5,7,0,1,2000,2,3,0
206,2000,0,9,8,54,192.2,9,-4,9,2400,9,10,0
207,2600,0,1,7,56,6.3,3,-8,7,3200,6,9,220
208,2600,0,2,4,56,10.7,8,-1,8,2400,7,6,280
209,2600,0,3,5,56,6.4,5,0,1,2400,5,1,210
210,2600,0,4,6,56,6.4,4,6,1,2400,5,3,0
211,2600,0,5,2,56,6.4,6,-10,1,2400,12,3,0
212,2600,0,6,10,58,5,1,-6,3,3600,3,4,0
213,2600,0,7,3,56,7.8,7,4,9,1800,11,8,0
214,2600,0,8,1,56,32.4,9,4,8,2000,1,7,0
215,2600,0,9,9,57,5.7,2,-4,3,2000,9,12,0
216,2600,0,10,8,54,275.5,10,-2,7,1800,10,10,0
217,1200,0,1,10,54,30.5,11,-8,10,1200,2,8,620
218,1200,0,2,15,52,6.7,2,-4,1,1200,1,1,190
219,1200,0,3,9,54,2,1,-2,2,1200,9,1,120
220,1200,0,4,5,55,37.3,12,6,8,1200,3,5,0
221,1200,0,5,2,52,15.2,6,-6,1,1200,7,6,0
222,1200,0,6,4,54,48.8,13,-4,10,1200,13,4,0
223,1200,0,7,3,55,13.1,4,-8,5,1200,12,2,0
224,1200,0,8,11,55,13.5,5,-18,9,1200,6,2,0
225,1200,0,9,14,55,319.7,16,-2,13,1200,7,11,0
226,1200,0,10,8,57,9.4,3,0,2,1200,10,3,0
227,1200,0,11,6,57,30.2,10,6,15,1400,3,5,0
228,1200,0,12,12,57,23.2,8,-2,6,1200,12,7,0
229,1200,0,13,13,57,86.5,15,-6,10,1200,13,13,0
230,1200,0,14,16,55,62.1,14,-4,7,1200,5,6,0
231,1200,0,15,7,55,30,9,16,8,1200,5,6,0
232,1200,0,16,1,57,16.3,7,12,12,1200,6,8,0
233,1500,0,1,10,54,1.1,1,2,2,1600,1,1,100
234,1500,0,2,6,54,19.4,2,-4,7,1400,12,3,140
235,1500,0,3,2,54,59.5,4,2,5,1200,6,6,220
236,1500,0,4,3,54,20.8,3,6,3,1200,8,3,0
237,1500,0,5,7,54,352.8,11,-6,10,1200,4,11,0
238,1500,0,6,5,54,151,7,-10,7,1200,11,8,0
239,1500,0,7,8,54,65.2,6,-10,5,1800,2,5,0
240,1500,0,8,11,54,59.7,5,8,2,1200,4,8,0
241,1500,0,9,4,54,661.8,13,-10,12,1200,12,11,0
242,1500,0,10,12,54,375,12,-12,16,1600,14,16,0
243,1500,0,11,1,51,279.7,9,2,14,1800,4,8,0
244,1500,0,12,9,54,285.4,10,0,8,1500,10,7,0
245,1500,0,13,13,53,240.7,8,-2,7,1800,3,6,0
246,2000,0,1,9,54,3.3,1,-4,2,2000,5,6,200
247,2000,0,2,7,54,10.2,6,-8,4,2000,7,6,270
248,2000,0,3,11,54,18.9,8,2,9,1800,10,3,360
249,2000,0,4,3,54,5.4,3,24,6,2000,6,3,0
250,2000,0,5,13,54,8.3,4,2,7,2000,8,6,0
251,2000,0,6,5,51,25.6,9,-2,9,1800,14,5,0
252,2000,0,7,1,54,4,2,-8,4,2000,11,2,0
253,2000,0,8,12,54,168,12,6,10,2000,10,10,0
254,2000,0,9,2,54,12.9,7,8,6,2000,1,10,0
255,2000,0,10,10,54,171.6,13,-6,10,2000,1,11,0
256,2000,0,11,8,54,125.2,11,4,9,2000,2,9,0
257,2000,0,12,6,51,107.4,10,6,11,1800,7,10,0
258,2000,0,13,4,53,9.2,5,0,5,2000,4,5,0
259,1800,0,1,5,53,9.6,3,0,5,1800,5,3,140
260,1800,0,2,6,54,1.4,1,0,5,1800,6,1,110
261,1800,0,3,1,54,3.9,2,0,5,1800,1,2,110
262,1800,0,4,7,54,35.3,6,0,5,1800,7,6,0
263,1800,0,5,3,54,16.2,5,0,5,1800,3,5,0
264,1800,0,6,4,54,14.8,4,0,5,1800,4,4,0
265,1800,0,7,8,54,55.2,7,0,5,1800,8,7,0
266,1800,0,8,2,54,109.5,8,0,5,1800,2,8,0
267,1800,0,9,9,54,128.8,9,0,5,1800,9,9,0
268,2600,0,1,8,54,2.1,1,8,5,2200,1,2,110
269,2600,0,2,6,55,12.9,5,4,7,2000,4,6,190
270,2600,0,3,4,54,3,2,4,3,2600,10,1,120
271,2600,0,4,7,54,6.5,3,12,8,2000,3,2,0
272,2600,0,5,3,54,7.2,4,4,1,2000,1,3,0
273,2600,0,6,5,57,58.3,8,-4,5,2400,2,7,0
274,2600,0,7,2,57,27.5,6,-2,5,2600,7,9,0
275,2600,0,8,1,54,29.9,7,-8,1,1700,7,3,0
276,2600,0,9,9,57,92.8,9,10,1,1400,1,1,0
277,1200,0,1,1,54,3.3,2,-2,1,1400,11,1,170
278,1200,0,2,7,54,56.9,9,-6,15,1400,18,14,870
279,1200,0,3,2,55,15,5,0,7,1200,5,4,300
280,1200,0,4,6,52,6.8,4,-16,11,1200,15,1,0
281,1200,0,5,8,57,2.3,1,-2,2,1200,4,3,0
282,1200,0,6,10,54,164.9,11,22,12,1200,2,14,0
283,1200,0,7,9,54,22.4,6,0,5,1200,3,11,0
284,1200,0,8,5,53,5.5,3,6,3,1200,11,7,0
285,1200,0,9,4,54,29.5,7,-12,11,1200,12,12,0
286,1200,0,10,11,57,40.7,8,2,6,1200,11,14,0
287,1200,0,11,3,57,158.1,10,0,7,1800,6,6,0
288,1800,0,1,10,52,17.5,6,-10,8,1800,8,5,470
289,1800,0,2,2,53,6.6,3,-6,3,1800,6,2,200
290,1800,0,3,7,56,7.7,4,-10,2,1800,4,4,210
291,1800,0,4,1,56,5.4,2,-2,2,2000,11,5,0
292,1800,0,5,5,53,90.4,11,-4,11,2600,12,10,0
293,1800,0,6,8,54,9.1,5,2,1,2000,7,3,0
294,1800,0,7,4,53,136.1,12,-10,10,1200,9,11,0
295,1800,0,8,11,53,2,1,2,1,1600,12,1,0
296,1800,0,9,3,51,149.4,13,0,13,1200,10,14,0
297,1800,0,10,9,54,49.8,9,-12,9,2000,8,9,0
298,1800,0,11,12,56,32.7,8,6,8,2000,5,3,0
299,1800,0,12,6,54,60.1,10,0,11,1800,6,11,0
300,1200,0,3,1,56,10.2,5,10,4,1200,7,4,250
301,1200,0,4,7,48,29.6,8,-2,14,1200,1,2,0
302,1200,0,5,6,52,47.6,11,-6,16,1400,16,17,0
303,1200,0,6,15,50,40.3,10,0,1,1200,15,14,0
304,1200,0,7,9,54,19.3,7,2,13,1400,10,13,0
305,1200,0,8,16,50,14.7,6,-10,1,1200,5,1,0
306,1200,0,9,5,48,6.8,3,0,1,1200,7,2,0
307,1200,0,10,12,54,106,15,-6,7,1200,1,6,0
308,1200,0,11,4,51,55.4,12,-10,4,1200,1,10,0
309,1200,0,12,13,52,74.3,14,-6,6,1200,3,8,0
310,1200,0,13,3,53,127.5,16,8,11,1000,1,15,0
311,1200,0,14,14,52,70.4,13,-6,8,1200,10,14,0
312,1200,0,15,2,52,35.3,9,-8,4,1200,10,6,0
313,1800,1,1,5,54,2.7,1,-2,2,1800,3,5,140
314,1800,1,2,9,54,3.4,2,0,2,1800,4,2,140
315,1800,1,3,8,54,30.6,8,4,3,1800,8,5,460
316,1800,1,4,2,54,24.4,7,-4,5,1500,2,2,0
317,1800,1,5,7,54,46.2,10,0,3,1800,2,4,0
318,1800,1,6,14,54,7,3,-6,3,1800,1,4,0
319,1800,1,7,1,54,8.7,4,-2,2,1800,11,4,0
320,1800,1,8,4,54,12.7,5,0,3,1200,8,9,0
321,1800,1,9,11,54,533.1,14,4,12,1800,1,14,0
322,1800,1,10,12,54,45.1,9,-6,6,1200,10,9,0
323,1800,1,11,3,54,474.6,13,-6,8,1800,2,8,0
324,1800,1,12,6,51,304.4,12,-6,8,1800,6,8,0
325,1800,1,13,13,54,218.3,11,-6,12,1600,11,6,0
326,1800,1,14,10,53,13.2,6,4,4,1800,5,4,0
327,1200,1,1,5,54,50.4,10,4,7,1200,1,4,970
328,1200,1,2,1,54,2.9,2,2,2,1200,15,1,160
329,1200,1,3,12,54,31.4,8,0,3,1200,10,7,590
330,1200,1,4,7,54,55.1,11,-2,4,1200,1,5,0
331,1200,1,5,4,51,11.4,3,-10,3,1200,8,2,0
332,1200,1,6,14,53,19.9,7,-2,3,1200,2,6,0
333,1200,1,7,9,54,14.7,5,4,10,1200,7,6,0
334,1200,1,8,13,54,359.6,16,4,16,1200,13,11,0
335,1200,1,9,3,54,118.4,14,14,13,1200,16,15,0
336,1200,1,10,11,54,56.2,12,4,4,1200,1,10,0
337,1200,1,11,15,54,47.2,9,6,6,1200,16,1,0
338,1200,1,12,10,54,13.6,4,-4,2,1200,9,7,0
339,1200,1,13,6,53,17,6,10,5,1500,6,4,0
340,1200,1,14,16,54,2.2,1,-2,2,1200,4,1,0
341,1200,1,15,2,51,232.1,15,8,13,1200,5,12,0
342,1200,1,16,8,54,74,13,-6,8,1000,16,2,0
343,1500,1,1,3,54,3,1,0,5,1500,3,1,140
344,1500,1,2,14,54,36,7,0,5,1500,14,7,520
345,1500,1,3,12,54,3.9,2,0,5,1500,12,2,160
346,1500,1,4,6,53,7.9,4,0,5,1500,6,4,0
347,1500,1,5,10,54,11.4,6,0,5,1500,10,6,0
348,1500,1,6,8,54,221.9,14,0,5,1500,8,14,0
349,1500,1,7,11,54,61.2,9,0,5,1500,11,9,0
350,1500,1,8,7,54,181,13,0,5,1500,7,13,0
351,1500,1,9,13,54,125.5,12,0,5,1500,13,12,0
352,1500,1,10,5,54,38.2,8,0,5,1500,5,8,0
353,1500,1,11,1,54,101.6,11,0,5,1500,1,11,0
354,1500,1,12,2,54,6,3,0,5,1500,2,3,0
355,1500,1,13,4,51,92,10,0,5,1500,4,10,0
356,1500,1,14,9,54,8,5,0,5,1500,9,5,0
357,2000,1,1,3,56,1.8,1,-4,2,1800,10,1,110
358,2000,1,2,4,54,23.1,6,-8,5,1800,5,7,250
359,2000,1,3,12,54,3.9,2,6,2,2000,6,2,140
360,2000,1,4,9,56,7.1,3,4,3,2000,8,4,0
361,2000,1,5,7,56,21.1,5,4,6,1800,2,2,0
362,2000,1,6,5,56,25.3,7,-6,7,1800,1,4,0
363,2000,1,7,8,53,116.6,10,2,11,2000,9,8,0
364,2000,1,8,6,54,8,4,-2,7,1500,8,3,0
365,2000,1,9,1,56,204.8,11,2,7,1000,5,7,0
366,2000,1,10,10,55,55.7,9,12,13,2000,13,10,0
367,2000,1,11,11,53,47.4,8,-4,7,2000,12,6,0
368,1800,1,1,11,54,2.4,1,6,1,1600,1,3,120
369,1800,1,2,6,54,6.6,3,-6,1,2000,5,4,150
370,1800,1,3,3,54,3.2,2,-6,1,1600,4,4,120
371,1800,1,4,9,54,8,4,2,1,1800,6,2,0
372,1800,1,5,10,54,17.5,6,6,2,1700,6,1,0
373,1800,1,6,8,54,9.9,5,4,1,1400,4,3,0
374,1800,1,7,4,54,70.2,9,-4,6,1200,5,4,0
375,1800,1,8,5,54,67.3,8,0,1,1600,8,3,0
376,1800,1,9,2,54,66.8,7,2,9,1200,13,15,0
377,1800,1,10,7,54,135.8,10,-6,10,1700,2,4,0
378,1800,1,11,1,54,234.6,11,-2,8,1700,11,11,0
379,1500,1,1,7,57,7,4,-2,4,1500,6,5,170
380,1500,1,2,2,57,5.6,3,-6,6,1500,8,3,190
381,1500,1,3,10,57,2.9,1,-8,3,1500,4,1,130
382,1500,1,4,8,52,17.7,7,-8,5,1500,2,6,0
383,1500,1,5,3,55,82.2,11,4,8,1000,8,5,0
384,1500,1,6,5,57,12.4,6,-4,5,1400,10,8,0
385,1500,1,7,6,57,4.5,2,6,3,1600,3,1,0
386,1500,1,8,11,57,8,5,-4,2,1500,9,7,0
387,1500,1,9,12,55,20.2,8,-4,4,1200,15,5,0
388,1500,1,10,9,55,109.8,12,-4,8,1400,12,10,0
389,1500,1,11,4,57,38.9,9,-6,14,2000,9,6,0
390,1500,1,12,1,57,59.9,10,4,7,1500,3,8,0
391,2000,1,1,2,55,19.7,6,-6,4,1800,12,8,680
392,2000,1,2,3,55,9.7,4,-6,6,2000,12,8,340
393,2000,1,3,8,54,32,8,-4,4,2000,6,6,740
394,2000,1,4,9,54,10.8,5,2,6,1800,14,7,0
395,2000,1,5,6,54,5.2,2,6,4,2000,2,3,0
396,2000,1,6,5,52,28.7,7,8,1,2000,10,3,0
397,2000,1,7,10,54,5.5,3,-12,7,2600,1,2,0
398,2000,1,8,4,54,1.8,1,-8,3,1800,4,1,0
399,2000,1,9,7,57,244.5,10,2,9,2000,8,9,0
400,2000,1,10,1,57,70.9,9,0,10,1800,13,12,0
401,1200,0,1,4,54,2,1,0,2,1200,3,4,110
402,1200,0,2,7,51,4.2,2,-6,7,1800,5,2,120
403,1200,0,3,10,54,11.6,5,0,5,1200,10,9,170
404,1200,0,4,2,54,12.4,6,10,6,1200,10,7,0
405,1200,0,5,9,51,7.9,3,10,6,1200,6,4,0
406,1200,0,6,3,54,31.9,7,0,10,1200,12,5,0
407,1200,0,7,5,54,49.4,8,0,9,1200,5,10,0
408,1200,0,8,6,54,10,4,-4,9,1800,6,4,0
409,1200,0,9,1,54,117.8,9,2,9,1000,2,9,0
410,1200,0,10,8,54,188.9,10,2,13,1200,10,14,0
411,1500,0,1,3,53,2.8,1,0,2,1500,5,2,120
412,1500,0,2,12,54,7.4,4,-6,5,1800,4,1,200
413,1500,0,3,5,56,9.4,5,0,4,1700,12,1,300
414,1500,0,4,6,54,17.4,6,-4,8,1600,7,9,0
415,1500,0,5,10,56,4.5,2,4,3,1800,4,2,0
416,1500,0,6,4,54,7,3,-2,3,1500,10,5,0
417,1500,0,7,2,56,18.6,7,6,8,1600,10,7,0
418,1500,0,8,9,54,22,10,-6,8,1400,2,5,0
419,1500,0,9,8,56,18.6,8,2,8,1800,10,3,0
420,1500,0,10,7,54,103.5,13,-12,4,1700,8,5,0
421,1500,0,11,14,54,62.1,11,8,11,1800,2,4,0
422,1500,0,12,1,51,75.8,12,12,12,1200,11,9,0
423,1500,0,13,11,51,21,9,6,4,1200,5,12,0
424,1500,0,14,13,54,129.2,14,-8,7,2000,14,5,0
425,2600,0,1,9,56,3.3,1,4,6,2400,1,3,150
426,2600,0,2,2,54,4.5,3,-4,4,2000,9,2,180
427,2600,0,3,1,56,78,13,6,10,2000,3,11,1320
428,2600,0,4,6,56,21.6,6,0,6,1500,1,9,0
429,2600,0,5,7,56,72.3,12,6,9,2000,4,8,0
430,2600,0,6,14,56,44.9,9,-2,8,2000,1,7,0
431,2600,0,7,12,54,6.7,5,2,3,2600,1,7,0
432,2600,0,8,3,54,118.6,14,4,9,1700,6,7,0
