,距離,馬場,着順,馬番,斤量,単勝,人気,増減,前着順,前距離,前馬番,前人気,複勝
13972,1600,0,2,14,51,6.6,4,4,2,1600,2,5,210
13973,1600,0,3,7,54,5.9,3,-8,4,1600,11,4,220
13974,1600,0,4,15,54,2.8,1,2,2,1600,9,2,0
13975,1600,0,5,2,54,15.7,7,-6,5,2000,10,2,0
13976,1600,0,6,12,51,15.5,6,-6,2,1400,9,5,0
13977,1600,0,7,9,52,5.3,2,10,3,1600,14,6,0
13978,1600,0,8,11,54,107.4,12,-8,8,1400,6,14,0
13979,1600,0,9,16,54,34.6,8,-10,4,1800,8,4,0
13980,1600,0,10,6,51,149.9,13,-8,6,1400,11,10,0
13981,1600,0,11,1,54,54.6,10,-4,5,1600,4,3,0
13982,1600,0,12,10,54,89,11,0,5,1600,10,7,0
13983,1600,0,13,5,54,180.2,15,2,10,1400,17,8,0
13984,1600,0,14,8,54,167.7,14,-14,9,1600,4,4,0
13985,1600,0,15,3,54,244.8,16,0,9,1400,4,7,0
13986,1600,0,16,13,54,46.9,9,6,6,1600,6,5,0
13987,2200,0,1,15,55,3.1,1,10,3,2000,3,4,180
13988,2200,0,2,10,52,18.2,8,16,11,2000,11,8,620
13989,2200,0,3,18,57,49.5,11,14,12,1600,8,4,1080
13990,2200,0,4,12,55,5.3,3,0,3,2400,7,8,0
13991,2200,0,5,3,52,9.4,4,4,9,2400,6,6,0
13992,2200,0,6,7,57,238.6,16,0,16,2200,13,16,0
13993,2200,0,7,2,55,17.4,7,6,9,2000,8,6,0
13994,2200,0,8,14,55,41.7,10,6,9,2200,8,6,0
13995,2200,0,9,1,55,12.9,6,-8,11,1600,7,5,0
13996,2200,0,10,6,54,151,15,8,9,1400,6,9,0
13997,2200,0,11,16,57,25.3,9,-14,6,1900,1,3,0
13998,2200,0,12,9,57,4.4,2,-6,2,2200,7,4,0
13999,2200,0,13,17,52,127.1,14,8,10,1800,5,11,0
14000,2200,0,14,13,55,97.5,13,14,9,2770,8,5,0
14001,2200,0,15,11,53,11.2,5,-4,10,2000,2,9,0
14002,2200,0,16,8,57,248.3,17,0,14,2400,9,15,0
14003,2200,0,17,5,52,332.8,18,-16,10,1800,10,11,0
