,馬番,斤量,単勝,人気,前着順,前馬番,前人気
,1,57,86.3,12,1,3,1
,2,57,69.3,10,3,7,2
,3,57,1.2,1,1,2,1
,4,57,101.1,14,9,6,9
,5,57,80.5,11,10,8,2
,6,57,9.8,2,2,18,3
,7,57,57.1,8,1,3,2
,8,57,48.8,7,4,11,4
,9,57,21.7,4,1,1,2
,10,57,39.7,6,2,9,1
,11,57,11.7,3,1,6,4
,12,57,119.5,15,7,4,13
,13,57,62.9,9,3,5,14
,14,57,35.9,5,5,10,5
,15,57,94.2,13,9,7,4
,16,57,196.2,16,5,13,17
,17,57,257.9,18,13,13,11
,18,57,235.1,17,11,3,6
