,馬番,斤量,単勝,人気,前着順,前馬番,前人気
,1,58,51.8,9,5,3,7
,2,58,97.4,14,9,7,7
,3,58,9.2,5,1,2,3
,4,58,243.9,17,11,8,11
,5,58,2.8,1,1,6,1
,6,58,91.0,13,1,9,1
,7,58,17.2,7,5,4,5
,8,58,104.4,15,3,8,4
,9,58,304.4,18,8,11,11
,10,58,133.9,16,8,11,10
,11,58,4.7,2,1,5,2
,12,58,74.7,12,7,1,5
,13,58,56.8,10,9,4,8
,14,58,13.8,6,6,8,3
,15,58,44.2,8,2,6,11
,16,58,4.8,3,2,12,4
,17,58,57.8,11,4,11,11
,18,58,9.1,4,7,3,3
