,馬番,斤量,単勝,人気,前着順,前馬番,前人気
,1,58,12.5,4,3,1,1
,2,58,14.3,5,3,8,1
,3,58,45.6,7,3,16,5
,4,58,173.4,13,1,4,4
,5,58,1.3,1,1,12,1
,6,58,7.1,2,1,1,1
,7,58,116.4,10,5,5,5
,8,58,156.5,12,6,3,8
,9,58,18.6,6,1,9,5
,10,58,150.2,11,6,1,1
,11,58,11.6,3,2,8,2
,12,58,276.1,14,5,9,7
,13,58,91.9,9,3,7,2
,14,58,59.5,8,1,13,2
