iter	Passed	Remaining
420	2769	3809
421	2773	3798
422	2776	3787
423	2780	3777
424	2784	3767
425	2788	3757
426	2792	3746
427	2795	3736
428	2799	3726
429	2803	3716
430	2806	3705
431	2810	3695
432	2814	3685
433	2818	3675
434	2822	3665
435	2825	3654
436	2829	3644
437	2832	3634
438	2839	3628
439	2845	3620
440	2854	3618
441	2860	3611
442	2868	3606
443	2874	3599
444	2882	3594
445	2888	3587
446	2894	3581
447	2900	3574
448	2906	3566
449	2914	3561
450	2921	3556
451	2928	3550
452	2933	3542
453	2940	3536
454	2944	3527
455	2949	3518
456	2953	3509
457	2958	3500
458	2961	3490
459	2965	3481
460	2969	3472
461	2973	3462
462	2977	3453
463	2981	3444
464	2985	3434
465	2989	3425
466	2992	3415
467	2996	3405
468	2999	3396
469	3003	3386
470	3006	3377
471	3010	3367
472	3014	3359
473	3018	3349
474	3022	3340
475	3025	3330
476	3030	3322
477	3036	3316
478	3044	3311
479	3050	3304
480	3056	3298
481	3064	3293
482	3071	3287
483	3077	3280
484	3084	3274
485	3091	3269
486	3097	3263
487	3104	3257
488	3110	3250
489	3117	3244
490	3123	3237
491	3130	3232
492	3133	3222
493	3137	3213
494	3141	3204
495	3145	3195
496	3148	3186
497	3152	3177
498	3155	3168
499	3166	3166
500	3169	3156
501	3173	3147
502	3177	3139
503	3184	3134
504	3192	3129
505	3196	3120
506	3202	3114
507	3206	3105
508	3210	3097
509	3215	3089
510	3218	3080
511	3222	3071
512	3226	3062
513	3232	3056
514	3239	3051
515	3245	3043
516	3254	3040
517	3262	3035
518	3271	3031
519	3277	3025
520	3283	3018
521	3290	3012
522	3297	3007
523	3305	3002
524	3312	2997
525	3319	2991
526	3324	2983
527	3329	2976
528	3336	2970
529	3340	2962
530	3344	2953
531	3348	2945
532	3352	2936
533	3357	2930
534	3361	2921
535	3365	2913
536	3369	2904
537	3372	2896
538	3376	2888
539	3380	2879
540	3384	2871
541	3388	2862
542	3392	2855
543	3398	2848
544	3404	2842
545	3408	2834
546	3412	2825
547	3416	2817
548	3420	2809
549	3427	2804
550	3433	2797
551	3439	2791
552	3447	2786
553	3454	2780
554	3460	2774
555	3467	2769
556	3473	2762
557	3481	2757
558	3488	2751
559	3495	2746
560	3502	2740
561	3508	2734
562	3515	2728
563	3521	2721
564	3528	2716
565	3533	2709
566	3536	2700
567	3540	2692
568	3544	2684
569	3548	2676
570	3552	2668
571	3556	2660
572	3559	2652
573	3563	2644
574	3566	2636
575	3570	2628
576	3574	2620
577	3578	2612
578	3582	2604
579	3586	2596
580	3590	2589
581	3595	2581
582	3598	2574
583	3602	2566
584	3606	2558
585	3609	2550
586	3613	2542
587	3619	2535
588	3625	2530
589	3631	2523
590	3636	2516
591	3641	2509
592	3648	2504
593	3655	2498
594	3662	2492
595	3668	2486
596	3675	2481
597	3681	2474
598	3688	2469
599	3694	2463
600	3698	2455
601	3704	2449
602	3712	2443
603	3719	2438
604	3723	2431
605	3727	2423
606	3731	2415
607	3734	2408
