iter	RMSE
780	0.1993153049
781	0.1993095421
782	0.1992996232
783	0.1992954949
784	0.1992869276
785	0.199275487
786	0.1992682748
787	0.1992632163
788	0.199263031
789	0.1992580624
790	0.1992505003
791	0.1992355679
792	0.1992226156
793	0.1992147204
794	0.1992144451
795	0.1992127111
796	0.199205271
797	0.1991985509
798	0.1991919332
799	0.1991879797
800	0.1991805628
801	0.1991691466
802	0.199163674
803	0.199152728
804	0.1991425263
805	0.1991372805
806	0.1991308735
807	0.199124706
808	0.1991204461
809	0.199112452
810	0.1991043503
811	0.1991041849
812	0.1990983019
813	0.1990974675
814	0.1990888808
815	0.1990823677
816	0.1990698671
817	0.1990599672
818	0.1990504839
819	0.1990477595
820	0.1990471756
821	0.1990470984
822	0.1990409161
823	0.1990331613
824	0.1990196943
825	0.1990193117
826	0.1990103061
827	0.1990038726
828	0.1989980949
829	0.1989930158
830	0.1989846015
831	0.1989807237
832	0.1989721519
833	0.1989623511
834	0.1989616395
835	0.1989514055
836	0.1989456667
837	0.1989327589
838	0.1989266011
839	0.1989164233
840	0.1989066804
841	0.198896892
842	0.1988831634
843	0.1988804368
844	0.1988673897
845	0.1988587545
846	0.198853266
847	0.1988523002
848	0.1988444088
849	0.1988355384
850	0.1988298005
851	0.1988215382
852	0.1988213957
853	0.1988143583
854	0.198808987
855	0.1987980167
856	0.1987873268
857	0.1987871586
858	0.1987799247
859	0.1987729962
860	0.1987582055
861	0.1987501139
862	0.1987445022
863	0.1987373904
864	0.1987277062
865	0.1987165658
866	0.1987088195
867	0.1986971711
868	0.1986857688
869	0.1986737879
870	0.1986655295
871	0.1986571709
872	0.1986468039
873	0.1986371382
874	0.1986269681
875	0.1986186908
876	0.198609037
877	0.1986058606
878	0.1986008628
879	0.1985892984
880	0.1985790027
881	0.1985697376
882	0.1985666237
883	0.1985608906
884	0.1985495181
885	0.198543774
886	0.1985398374
887	0.1985299819
888	0.1985280604
889	0.1985223271
890	0.1985221936
891	0.1985114973
892	0.1984991815
893	0.1984949052
894	0.1984918528
895	0.1984832835
896	0.1984725076
897	0.1984667366
898	0.1984651184
899	0.198458388
900	0.1984528235
901	0.1984430245
902	0.1984351407
903	0.1984269883
904	0.198418633
905	0.1984061929
906	0.1984000706
907	0.1983926163
908	0.1983851204
909	0.19838124
910	0.1983734732
911	0.1983684128
912	0.1983611121
913	0.1983533597
914	0.1983445601
915	0.1983397114
916	0.1983311306
917	0.1983309213
918	0.1983165197
919	0.1983075998
920	0.1983021674
921	0.198293037
922	0.1982887995
923	0.1982849867
924	0.1982748646
925	0.1982646022
926	0.1982584871
927	0.1982545742
928	0.1982473547
929	0.1982413351
930	0.1982365068
931	0.1982323508
932	0.1982270035
933	0.198220417
934	0.1982118399
935	0.1982028071
936	0.1982019225
937	0.1981871212
938	0.1981836485
939	0.1981721234
940	0.198164482
941	0.1981609538
942	0.1981509591
943	0.1981416776
944	0.1981339309
945	0.19812431
946	0.1981168687
947	0.1981100303
948	0.1981052766
949	0.1980992569
950	0.1980900506
951	0.19808139
952	0.1980745823
953	0.1980700192
954	0.1980634199
955	0.1980566065
956	0.1980468904
957	0.198039565
958	0.1980346177
959	0.1980273155
960	0.1980202435
961	0.1980118038
962	0.1980039034
963	0.1979993642
964	0.1979884451
965	0.197981237
966	0.1979725199
967	0.1979634628
968	0.1979518303
969	0.197944454
970	0.1979318241
971	0.1979186296
972	0.1979109606
973	0.1979062147
974	0.197898517
975	0.1978848031
976	0.1978767257
977	0.19786994
978	0.1978596952
979	0.1978538528
980	0.1978422505
981	0.1978339022
982	0.197823278
983	0.1978161723
984	0.1978080922
985	0.1977984187
986	0.1977905892
987	0.1977843078
988	0.1977786128
989	0.1977721372
990	0.1977607393
991	0.1977508943
992	0.197740455
993	0.1977333513
994	0.1977208114
995	0.1977191561
996	0.1977113188
997	0.1977013587
998	0.1976938946
999	0.1976847844
