,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減
2665,7,0,2600,0,0,11,6,56.0,19.1,7,450,-4
2666,7,0,2600,0,0,12,7,54.0,82.8,10,468,-6
2667,7,0,2600,0,0,13,11,55.0,352.2,14,466,4
2668,7,0,2600,0,0,14,9,50.0,242.1,13,460,-6
2669,8,0,1200,0,0,1,1,53.0,3.0,2,476,0
2670,8,0,1200,0,0,2,7,52.0,2.4,1,484,4
2671,8,0,1200,0,0,3,2,54.0,11.4,5,448,-6
2672,8,0,1200,0,0,4,4,53.0,23.6,6,460,-4
2673,8,0,1200,0,0,5,3,52.0,37.4,9,450,2
2674,8,0,1200,0,0,6,12,54.0,54.2,12,444,4
2675,8,0,1200,0,0,7,10,55.0,10.4,4,500,4
2676,8,0,1200,0,0,8,8,54.0,40.7,11,442,-4
2677,8,0,1200,0,0,9,15,54.0,60.1,13,462,-6
2678,8,0,1200,0,0,10,5,54.0,36.4,8,466,-8
2679,8,0,1200,0,0,11,9,54.0,9.2,3,472,-6
2680,8,0,1200,0,0,12,11,53.0,35.4,7,512,2
2681,8,0,1200,0,0,13,6,55.0,166.5,14,440,-2
2682,8,0,1200,0,0,14,14,51.0,264.1,15,400,-6
2683,8,0,1200,0,0,15,13,56.0,38.7,10,436,0
2684,9,1,1150,0,0,1,14,55.0,17.7,9,500,4
2685,9,1,1150,0,0,2,6,57.0,8.5,4,494,-6
2686,9,1,1150,0,0,3,12,54.0,11.9,6,452,-2
2687,9,1,1150,0,0,4,1,53.0,4.0,1,458,-6
2688,9,1,1150,0,0,5,3,56.0,49.6,14,480,-4
2689,9,1,1150,0,0,6,7,57.0,4.8,2,468,0
2690,9,1,1150,0,0,7,16,57.0,16.4,8,468,-2
2691,9,1,1150,0,0,8,5,56.0,14.4,7,518,-12
2692,9,1,1150,0,0,9,11,55.0,23.8,11,440,-8
2693,9,1,1150,0,0,10,10,57.0,23.5,10,480,0
2694,9,1,1150,0,0,11,15,57.0,119.8,16,456,-2
2695,9,1,1150,0,0,12,4,55.0,10.1,5,508,12
2696,9,1,1150,0,0,13,13,55.0,45.3,13,470,6
2697,9,1,1150,0,0,14,9,56.0,6.9,3,478,-2
2698,9,1,1150,0,0,15,2,57.0,99.4,15,474,-6
2699,9,1,1150,0,0,16,8,56.0,41.7,12,442,-10
2700,10,0,2000,0,0,1,5,55.0,3.2,1,456,-10
2701,10,0,2000,0,0,2,11,57.0,6.8,3,480,-12
2702,10,0,2000,0,0,3,15,57.0,11.1,6,472,2
2703,10,0,2000,0,0,4,9,57.0,15.9,8,458,-6
2704,10,0,2000,0,0,5,16,57.0,34.2,11,478,-4
2705,10,0,2000,0,0,6,3,55.0,51.2,12,464,-10
2706,10,0,2000,0,0,7,6,57.0,7.3,4,490,-4
2707,10,0,2000,0,0,8,10,55.0,30.6,10,480,-11
2708,10,0,2000,0,0,9,13,55.0,5.4,2,462,-4
2709,10,0,2000,0,0,10,12,57.0,15.4,7,466,-2
2710,10,0,2000,0,0,11,14,55.0,28.6,9,494,-2
2711,10,0,2000,0,0,12,1,55.0,56.5,13,502,-4
2712,10,0,2000,0,0,13,8,57.0,65.9,14,480,-4
2713,10,0,2000,0,0,14,7,57.0,135.7,15,446,-6
2714,10,0,2000,0,0,15,2,55.0,9.9,5,478,-2
2715,10,0,2000,0,0,16,4,57.0,188.8,16,444,-10
2716,11,1,1700,0,0,1,13,57.0,5.0,3,508,0
2717,11,1,1700,0,0,2,15,57.0,12.4,7,448,2
2718,11,1,1700,0,0,3,5,55.0,4.5,2,476,-6
2719,11,1,1700,0,0,4,10,57.0,9.3,5,466,2
2720,11,1,1700,0,0,5,7,57.0,132.1,15,460,4
2721,11,1,1700,0,0,6,2,55.0,11.1,6,458,-8
2722,11,1,1700,0,0,7,4,55.0,17.8,8,492,2
2723,11,1,1700,0,0,8,12,57.0,44.8,12,460,6
2724,11,1,1700,0,0,9,9,57.0,41.3,11,498,4
2725,11,1,1700,0,0,10,1,57.0,4.2,1,494,4
2726,11,1,1700,0,0,11,14,57.0,92.5,13,520,-10
2727,11,1,1700,0,0,12,11,57.0,114.5,14,518,-4
2728,11,1,1700,0,0,13,3,55.0,9.1,4,520,-4
2729,11,1,1700,0,0,14,8,55.0,20.6,9,450,12
2730,11,1,1700,0,0,15,6,57.0,31.3,10,524,0
2731,12,0,1200,0,0,1,4,57.0,6.8,3,472,0
2732,12,0,1200,0,0,2,14,54.0,7.8,4,474,-4
2733,12,0,1200,0,0,3,13,57.0,3.0,1,500,-8
2734,12,0,1200,0,0,4,5,56.0,13.2,6,458,-6
2735,12,0,1200,0,0,5,9,55.0,25.1,7,466,2
2736,12,0,1200,0,0,6,7,57.0,39.2,10,458,-2
2737,12,0,1200,0,0,7,1,57.0,68.3,12,482,-2
2738,12,0,1200,0,0,8,6,57.0,28.1,8,482,0
2739,12,0,1200,0,0,9,16,57.0,76.1,14,422,-6
2740,12,0,1200,0,0,10,11,56.0,35.1,9,400,-14
2741,12,0,1200,0,0,11,15,56.0,3.4,2,496,8
2742,12,0,1200,0,0,12,2,55.0,236.7,16,488,0
2743,12,0,1200,0,0,13,10,56.0,12.2,5,464,-6
2744,12,0,1200,0,0,14,3,55.0,48.6,11,440,-4
2745,12,0,1200,0,0,15,12,57.0,98.2,15,496,-11
2746,12,0,1200,0,0,16,8,55.0,73.2,13,506,-6
2747,1,1,1150,0,0,1,10,53.0,6.8,3,466,2
2748,1,1,1150,0,0,2,14,55.0,1.8,1,452,0
2749,1,1,1150,0,0,3,2,54.0,3.7,2,456,-2
2750,1,1,1150,0,0,4,11,55.0,25.8,5,528,0
2751,1,1,1150,0,0,5,7,55.0,49.6,7,490,2
2752,1,1,1150,0,0,6,9,54.0,202.8,12,448,8
2753,1,1,1150,0,0,7,5,54.0,25.9,6,416,-4
2754,1,1,1150,0,0,8,8,55.0,149.3,11,440,2
2755,1,1,1150,0,0,9,4,54.0,109.2,10,464,12
2756,1,1,1150,0,0,10,15,53.0,96.7,8,482,6
2757,1,1,1150,0,0,11,3,55.0,98.3,9,476,6
2758,1,1,1150,0,0,12,16,54.0,581.5,16,402,-6
2759,1,1,1150,0,0,13,12,54.0,13.8,4,434,10
2760,1,1,1150,0,0,14,6,55.0,338.5,14,482,20
2761,1,1,1150,0,0,15,1,55.0,213.9,13,444,4
2762,1,1,1150,0,0,16,13,52.0,344.7,15,420,0
2763,2,1,1700,0,0,1,6,53.0,27.8,8,464,20
2764,2,1,1700,0,0,2,9,55.0,7.8,3,490,14
2765,2,1,1700,0,0,3,10,52.0,34.6,10,456,-2
2766,2,1,1700,0,0,4,15,55.0,10.9,4,510,4
2767,2,1,1700,0,0,5,3,55.0,39.8,12,464,-2
2768,2,1,1700,0,0,6,11,53.0,13.0,5,442,-8
2769,2,1,1700,0,0,7,14,53.0,2.6,1,462,8
2770,2,1,1700,0,0,8,5,53.0,3.7,2,460,-8
2771,2,1,1700,0,0,9,4,55.0,34.7,11,498,-2
2772,2,1,1700,0,0,10,1,55.0,18.5,7,504,2
2773,2,1,1700,0,0,11,8,53.0,30.6,9,444,-2
2774,2,1,1700,0,0,12,12,53.0,16.4,6,476,-2
2775,2,1,1700,0,0,13,13,55.0,72.8,14,506,0
2776,2,1,1700,0,0,14,7,55.0,48.2,13,442,-2
2777,2,1,1700,0,0,15,2,55.0,209.5,15,440,4
2778,3,1,1700,0,0,1,15,55.0,3.7,2,482,-10
2779,3,1,1700,0,0,2,1,57.0,8.6,4,456,-8
2780,3,1,1700,0,0,3,6,52.0,87.8,10,506,0
2781,3,1,1700,0,0,4,2,54.0,2.7,1,500,0
2782,3,1,1700,0,0,5,9,57.0,10.3,5,484,-4
2783,3,1,1700,0,0,6,5,57.0,57.3,9,464,-8
2784,3,1,1700,0,0,7,12,57.0,27.9,7,488,2
2785,3,1,1700,0,0,8,7,53.0,99.3,11,518,2
2786,3,1,1700,0,0,9,14,57.0,4.9,3,494,-4
2787,3,1,1700,0,0,10,10,55.0,107.0,12,526,-6
2788,3,1,1700,0,0,11,3,53.0,127.3,13,482,-4
2789,3,1,1700,0,0,12,8,55.0,240.4,15,478,2
2790,3,1,1700,0,0,13,4,51.0,33.9,8,422,0
2791,3,1,1700,0,0,14,11,57.0,13.5,6,472,0
2792,3,1,1700,0,0,15,13,54.0,165.2,14,518,0
2793,6,1,1700,0,0,1,15,57.0,2.0,1,496,2
2794,6,1,1700,0,0,2,13,55.0,3.8,2,486,8
2795,6,1,1700,0,0,3,1,55.0,5.7,3,482,6
2796,6,1,1700,0,0,4,6,55.0,35.3,7,438,4
2797,6,1,1700,0,0,5,12,57.0,15.6,4,518,-6
2798,6,1,1700,0,0,6,4,57.0,40.5,9,478,-4
2799,6,1,1700,0,0,7,10,55.0,67.5,13,490,2
2800,6,1,1700,0,0,8,7,55.0,20.1,5,510,4
2801,6,1,1700,0,0,9,3,55.0,25.2,6,454,-4
2802,6,1,1700,0,0,10,2,53.0,81.3,14,454,-6
2803,6,1,1700,0,0,11,11,55.0,39.8,8,496,6
2804,6,1,1700,0,0,12,14,55.0,43.0,10,472,8
2805,6,1,1700,0,0,13,8,57.0,133.4,15,448,0
2806,6,1,1700,0,0,14,9,53.0,56.1,11,450,-2
2807,6,1,1700,0,0,15,5,55.0,60.9,12,500,0
2808,7,0,2000,0,0,1,10,53.0,19.2,5,428,12
2809,7,0,2000,0,0,2,2,53.0,2.1,1,456,-2
2810,7,0,2000,0,0,3,13,53.0,22.7,7,446,-6
2811,7,0,2000,0,0,4,1,55.0,3.3,2,506,-2
2812,7,0,2000,0,0,5,15,55.0,24.8,8,448,-4
2813,7,0,2000,0,0,6,6,55.0,14.0,4,450,0
