着順,レース,芝ダ,距離,天候,馬場,馬番,斤量,単勝,人気,馬体重,増減
1,1,1,1700,0,0,11,51.0,12.7,5,476,-4
2,1,1,1700,0,0,3,56.0,2.8,1,472,0
3,1,1,1700,0,0,10,53.0,5.4,3,468,6
4,1,1,1700,0,0,5,53.0,28.1,7,468,-4
5,1,1,1700,0,0,7,56.0,66.1,11,504,26
6,1,1,1700,0,0,12,56.0,9.3,4,482,4
7,1,1,1700,0,0,8,56.0,3.0,2,522,-2
8,1,1,1700,0,0,1,56.0,40.1,8,482,0
9,1,1,1700,0,0,14,56.0,19.6,6,454,-4
10,1,1,1700,0,0,6,56.0,64.9,10,448,0
11,1,1,1700,0,0,2,54.0,83.4,12,446,-8
12,1,1,1700,0,0,4,53.0,47.1,9,456,-6
13,1,1,1700,0,0,15,54.0,116.2,14,434,-4
14,1,1,1700,0,0,9,54.0,108.5,13,474,-4
15,1,1,1700,0,0,13,56.0,203.2,15,458,-8
1,2,0,1200,0,0,1,53.0,26.2,8,476,0
2,2,0,1200,0,0,3,54.0,7.6,3,406,-16
3,2,0,1200,0,0,12,56.0,1.8,1,470,-6
4,2,0,1200,0,0,14,53.0,7.3,2,438,0
5,2,0,1200,0,0,9,54.0,10.1,4,478,2
6,2,0,1200,0,0,6,51.0,14.3,5,418,8
7,2,0,1200,0,0,7,54.0,16.1,6,432,-8
8,2,0,1200,0,0,10,52.0,23.6,7,470,0
9,2,0,1200,0,0,2,51.0,73.8,13,482,2
10,2,0,1200,0,0,8,56.0,211.4,16,448,0
11,2,0,1200,0,0,16,56.0,44.9,10,396,-20
12,2,0,1200,0,0,4,54.0,56.5,12,460,22
13,2,0,1200,0,0,11,51.0,88.1,14,406,0
14,2,0,1200,0,0,5,54.0,30.8,9,398,0
15,2,0,1200,0,0,13,56.0,160.6,15,468,0
16,2,0,1200,0,0,15,51.0,50.3,11,428,0
1,3,1,1700,0,0,9,52.0,6.5,5,456,2
2,3,1,1700,0,0,8,53.0,4.4,3,438,0
3,3,1,1700,0,0,6,52.0,24.3,7,458,-4
4,3,1,1700,0,0,5,54.0,4.3,1,488,10
5,3,1,1700,0,0,3,55.0,42.2,10,452,-2
6,3,1,1700,0,0,1,52.0,25.1,8,482,-6
7,3,1,1700,0,0,4,52.0,4.4,2,446,-4
8,3,1,1700,0,0,10,55.0,5.2,4,500,0
9,3,1,1700,0,0,2,55.0,104.1,12,420,-14
10,3,1,1700,0,0,14,55.0,107.5,13,454,-8
11,3,1,1700,0,0,11,55.0,39.4,9,412,-14
12,3,1,1700,0,0,7,55.0,200.7,14,440,-10
13,3,1,1700,0,0,12,55.0,18.1,6,440,-2
14,3,1,1700,0,0,13,55.0,49.0,11,442,-17
1,6,1,1700,0,0,8,53.0,6.6,3,508,-6
2,6,1,1700,0,0,4,54.0,1.5,1,488,-2
3,6,1,1700,0,0,6,56.0,83.5,10,508,-4
4,6,1,1700,0,0,9,54.0,13.6,4,526,10
5,6,1,1700,0,0,12,54.0,5.2,2,482,-4
6,6,1,1700,0,0,13,54.0,40.5,8,436,-4
7,6,1,1700,0,0,2,54.0,95.2,11,520,4
8,6,1,1700,0,0,7,54.0,36.9,7,466,-2
9,6,1,1700,0,0,3,54.0,134.5,13,484,4
10,6,1,1700,0,0,11,54.0,26.9,6,510,-8
11,6,1,1700,0,0,10,57.0,45.9,9,490,-2
12,6,1,1700,0,0,1,57.0,26.2,5,504,-8
13,6,1,1700,0,0,5,57.0,108.9,12,438,-4
1,7,1,1150,0,0,13,54.0,2.5,1,496,-8
2,7,1,1150,0,0,12,52.0,8.4,4,416,2
3,7,1,1150,0,0,16,54.0,5.3,2,468,-6
4,7,1,1150,0,0,14,51.0,8.7,5,428,-16
5,7,1,1150,0,0,5,51.0,14.8,7,414,6
6,7,1,1150,0,0,2,54.0,262.2,15,400,-8
7,7,1,1150,0,0,3,51.0,18.3,8,428,2
8,7,1,1150,0,0,6,54.0,34.3,9,396,-8
9,7,1,1150,0,0,1,51.0,5.7,3,472,-2
10,7,1,1150,0,0,4,54.0,113.7,12,408,12
11,7,1,1150,0,0,9,51.0,75.7,10,420,-16
12,7,1,1150,0,0,7,54.0,172.0,14,412,-6
13,7,1,1150,0,0,8,54.0,14.6,6,464,0
14,7,1,1150,0,0,11,54.0,146.8,13,422,0
15,7,1,1150,0,0,10,51.0,439.4,16,400,-14
16,7,1,1150,0,0,15,54.0,105.1,11,438,0
1,8,0,2600,0,0,12,54.0,48.2,11,432,-10
2,8,0,2600,0,0,13,56.0,2.7,1,450,-4
3,8,0,2600,0,0,4,53.0,68.9,13,512,4
4,8,0,2600,0,0,2,53.0,79.5,15,460,-16
5,8,0,2600,0,0,1,56.0,34.8,9,548,0
6,8,0,2600,0,0,3,54.0,6.5,4,450,2
7,8,0,2600,0,0,14,56.0,6.9,5,442,-8
8,8,0,2600,0,0,8,56.0,6.2,3,486,-4
9,8,0,2600,0,0,9,56.0,41.2,10,486,-2
10,8,0,2600,0,0,11,53.0,49.5,12,480,-8
11,8,0,2600,0,0,16,53.0,21.1,7,492,-14
12,8,0,2600,0,0,7,53.0,74.1,14,454,-4
13,8,0,2600,0,0,10,56.0,410.9,16,438,-4
14,8,0,2600,0,0,6,53.0,34.6,8,416,-8
15,8,0,2600,0,0,5,54.0,17.1,6,436,-4
16,8,0,2600,0,0,15,56.0,6.2,2,506,-12
1,9,1,1150,0,0,15,57.0,8.7,4,454,-12
2,9,1,1150,0,0,6,52.0,4.1,1,452,-12
3,9,1,1150,0,0,2,57.0,13.8,6,470,-2
4,9,1,1150,0,0,16,57.0,13.9,7,488,6
5,9,1,1150,0,0,11,57.0,16.8,8,476,-10
6,9,1,1150,0,0,4,56.0,40.0,13,522,-6
7,9,1,1150,0,0,3,54.0,18.7,10,518,-6
8,9,1,1150,0,0,14,54.0,16.8,9,506,0
9,9,1,1150,0,0,10,54.0,10.6,5,490,0
10,9,1,1150,0,0,8,57.0,316.5,16,472,-15
11,9,1,1150,0,0,13,55.0,40.6,14,460,-2
12,9,1,1150,0,0,1,55.0,7.3,3,488,0
13,9,1,1150,0,0,5,55.0,22.5,11,456,4
14,9,1,1150,0,0,7,52.0,299.9,15,438,-9
15,9,1,1150,0,0,12,55.0,37.1,12,494,-4
16,9,1,1150,0,0,9,57.0,4.5,2,440,-2
1,10,0,2000,0,0,2,56.0,2.0,1,450,-2
2,10,0,2000,0,0,8,56.0,12.7,5,476,-4
3,10,0,2000,0,0,9,54.0,26.9,7,442,-4
4,10,0,2000,0,0,4,56.0,4.1,2,480,-6
5,10,0,2000,0,0,5,54.0,72.7,10,458,-10
6,10,0,2000,0,0,3,56.0,15.0,6,444,0
7,10,0,2000,0,0,10,54.0,7.1,3,478,-4
8,10,0,2000,0,0,6,56.0,7.2,4,436,-2
9,10,0,2000,0,0,7,56.0,36.2,8,442,-8
10,10,0,2000,0,0,1,54.0,44.4,9,468,0
1,11,0,1200,0,0,13,55.0,8.2,5,486,-14
2,11,0,1200,0,0,10,57.0,11.1,6,478,4
3,11,0,1200,0,0,9,55.0,76.4,15,428,-4
4,11,0,1200,0,0,16,57.0,6.0,3,478,-4
5,11,0,1200,0,0,6,55.0,46.0,13,454,-6
6,11,0,1200,0,0,3,55.0,5.4,2,464,-6
7,11,0,1200,0,0,11,55.0,117.9,16,436,2
8,11,0,1200,0,0,5,57.0,18.5,9,454,-14
9,11,0,1200,0,0,8,55.0,42.7,11,482,-12
10,11,0,1200,0,0,14,55.0,4.8,1,502,-2
11,11,0,1200,0,0,15,57.0,20.1,10,482,-6
12,11,0,1200,0,0,7,55.0,71.6,14,456,2
13,11,0,1200,0,0,1,57.0,6.7,4,488,-10
14,11,0,1200,0,0,2,57.0,14.2,7,482,2
15,11,0,1200,0,0,4,57.0,45.7,12,466,12
16,11,0,1200,0,0,12,57.0,16.1,8,502,8
1,12,0,1800,0,0,9,57.0,15.5,7,414,-10
2,12,0,1800,0,0,12,57.0,22.0,10,500,2
3,12,0,1800,0,0,5,57.0,76.7,13,446,0
4,12,0,1800,0,0,16,57.0,15.8,8,446,-10
5,12,0,1800,0,0,14,57.0,7.4,3,502,-4
6,12,0,1800,0,0,2,55.0,10.8,5,478,-6
7,12,0,1800,0,0,13,57.0,13.4,6,492,4
8,12,0,1800,0,0,4,57.0,2.5,1,492,-2
9,12,0,1800,0,0,15,55.0,132.4,16,466,-2
10,12,0,1800,0,0,11,57.0,7.2,2,490,-2
11,12,0,1800,0,0,8,57.0,9.4,4,468,-10
12,12,0,1800,0,0,3,57.0,18.6,9,466,-20
13,12,0,1800,0,0,1,55.0,71.6,12,406,-6
14,12,0,1800,0,0,10,55.0,27.1,11,462,0
15,12,0,1800,0,0,7,57.0,103.3,15,520,0
16,12,0,1800,0,0,6,57.0,90.0,14,454,-4
1,1,1,1700,0,0,5,56.0,1.7,1,512,-10
2,1,1,1700,0,0,13,56.0,7.2,3,468,2
3,1,1,1700,0,0,15,55.0,37.9,8,504,28
4,1,1,1700,0,0,3,56.0,34.3,7,502,-12
5,1,1,1700,0,0,12,54.0,5.4,2,486,-8
6,1,1,1700,0,0,14,56.0,66.4,10,508,-8
7,1,1,1700,0,0,11,54.0,12.2,5,478,2
8,1,1,1700,0,0,10,56.0,162.8,12,444,-2
9,1,1,1700,0,0,2,56.0,74.9,11,482,-4
10,1,1,1700,0,0,8,56.0,203.5,14,470,-4
11,1,1,1700,0,0,7,56.0,28.6,6,492,0
12,1,1,1700,0,0,9,51.0,42.4,9,458,0
13,1,1,1700,0,0,4,56.0,7.8,4,532,-4
14,1,1,1700,0,0,6,51.0,449.9,15,482,-4
15,1,1,1700,0,0,1,54.0,173.9,13,474,-14
1,2,0,1200,0,0,10,54.0,5.4,3,472,-8
2,2,0,1200,0,0,5,54.0,125.4,12,434,10
3,2,0,1200,0,0,7,51.0,2.4,1,472,0
4,2,0,1200,0,0,9,54.0,12.5,5,468,6
5,2,0,1200,0,0,13,53.0,132.5,13,460,-4
6,2,0,1200,0,0,8,56.0,13.3,6,502,-2
7,2,0,1200,0,0,6,54.0,6.7,4,432,-8
8,2,0,1200,0,0,11,56.0,4.8,2,468,2
9,2,0,1200,0,0,3,55.0,66.7,9,458,0
10,2,0,1200,0,0,4,53.0,18.6,7,474,0
11,2,0,1200,0,0,12,53.0,160.5,16,414,-6
12,2,0,1200,0,0,15,53.0,160.3,15,432,0
13,2,0,1200,0,0,16,54.0,117.0,11,390,0
14,2,0,1200,0,0,14,53.0,102.5,10,446,0
15,2,0,1200,0,0,2,54.0,29.0,8,446,-16
16,2,0,1200,0,0,1,54.0,154.9,14,436,0
1,3,1,1700,0,0,6,57.0,2.8,1,488,-4
2,3,1,1700,0,0,13,57.0,3.1,2,466,4
3,3,1,1700,0,0,15,54.0,17.9,6,496,-2
4,3,1,1700,0,0,3,54.0,28.7,10,486,2
5,3,1,1700,0,0,4,57.0,28.7,10,450,-2
6,3,1,1700,0,0,5,54.0,18.7,9,510,-2
7,3,1,1700,0,0,9,57.0,18.7,8,504,6
8,3,1,1700,0,0,7,57.0,18.5,7,536,2
9,3,1,1700,0,0,12,56.0,159.7,15,466,6
10,3,1,1700,0,0,1,57.0,17.7,5,458,4
11,3,1,1700,0,0,8,54.0,8.8,3,462,4
12,3,1,1700,0,0,2,57.0,12.4,4,478,-4
13,3,1,1700,0,0,11,52.0,66.1,13,458,2
14,3,1,1700,0,0,14,57.0,137.9,14,444,10
15,3,1,1700,0,0,10,54.0,51.8,12,468,-6
1,5,0,2000,0,0,1,51.0,11.3,5,380,-12
2,5,0,2000,0,0,14,54.0,1.8,1,464,-4
3,5,0,2000,0,0,10,54.0,29.6,7,454,-8
4,5,0,2000,0,0,13,54.0,57.9,11,448,0
5,5,0,2000,0,0,2,53.0,9.8,4,446,-6
6,5,0,2000,0,0,16,54.0,23.0,6,450,-14
7,5,0,2000,0,0,11,53.0,8.1,3,418,-8
8,5,0,2000,0,0,5,54.0,5.9,2,462,0
9,5,0,2000,0,0,3,54.0,88.6,14,418,-2
10,5,0,2000,0,0,4,52.0,114.8,15,394,-8
11,5,0,2000,0,0,6,54.0,80.4,13,432,-10
12,5,0,2000,0,0,12,54.0,66.4,12,486,0
13,5,0,2000,0,0,15,51.0,46.0,10,412,-10
14,5,0,2000,0,0,8,53.0,147.6,16,416,-2
15,5,0,2000,0,0,7,54.0,40.7,8,402,-20
1,6,1,1150,0,0,13,56.0,6.3,4,460,8
2,6,1,1150,0,0,11,53.0,2.6,1,456,-4
3,6,1,1150,0,0,8,52.0,17.7,5,410,-10
4,6,1,1150,0,0,10,51.0,5.3,3,426,4
5,6,1,1150,0,0,7,54.0,3.0,2,434,0
6,6,1,1150,0,0,5,56.0,26.1,6,464,1
7,6,1,1150,0,0,2,53.0,117.1,11,418,1
8,6,1,1150,0,0,4,53.0,157.2,12,432,2
9,6,1,1150,0,0,12,54.0,299.5,15,468,-14
10,6,1,1150,0,0,1,51.0,42.9,8,416,-12
11,6,1,1150,0,0,3,56.0,46.3,9,440,-12
12,6,1,1150,0,0,9,56.0,246.1,14,450,-12
13,6,1,1150,0,0,6,53.0,36.8,7,472,-6
14,6,1,1150,0,0,16,54.0,196.7,13,474,-16
15,6,1,1150,0,0,15,54.0,466.1,16,434,2
16,6,1,1150,0,0,14,56.0,99.3,10,458,0
1,7,0,1800,0,0,1,53.0,2.8,1,464,0
2,7,0,1800,0,0,9,56.0,161.7,15,460,0
3,7,0,1800,0,0,3,56.0,28.7,9,452,-4
4,7,0,1800,0,0,8,53.0,2.9,2,470,-2
5,7,0,1800,0,0,7,53.0,17.5,6,488,-10
6,7,0,1800,0,0,11,56.0,21.1,8,448,-2
7,7,0,1800,0,0,5,56.0,8.1,3,456,4
8,7,0,1800,0,0,12,56.0,9.3,4,498,2
9,7,0,1800,0,0,16,54.0,121.6,13,452,4
10,7,0,1800,0,0,6,56.0,55.0,11,472,0
11,7,0,1800,0,0,13,56.0,139.2,14,450,0
12,7,0,1800,0,0,4,56.0,20.0,7,466,2
13,7,0,1800,0,0,2,54.0,47.2,10,416,-6
14,7,0,1800,0,0,15,56.0,58.9,12,432,0
15,7,0,1800,0,0,14,56.0,13.9,5,452,-4
16,7,0,1800,0,0,10,54.0,451.7,16,414,-16
1,8,1,1150,0,0,13,54.0,7.6,4,474,4
2,8,1,1150,0,0,4,54.0,5.7,2,468,0
3,8,1,1150,0,0,6,54.0,8.4,5,494,6
4,8,1,1150,0,0,14,54.0,26.7,8,482,-4
5,8,1,1150,0,0,5,54.0,3.0,1,486,-10
6,8,1,1150,0,0,12,57.0,31.0,10,468,-2
7,8,1,1150,0,0,8,52.0,28.9,9,482,4
8,8,1,1150,0,0,10,52.0,68.9,13,454,-2
9,8,1,1150,0,0,7,55.0,211.8,14,454,6
10,8,1,1150,0,0,1,54.0,31.2,11,460,-8
11,8,1,1150,0,0,11,54.0,8.5,6,430,-2
12,8,1,1150,0,0,9,54.0,5.9,3,492,-10
13,8,1,1150,0,0,3,55.0,24.2,7,456,6
14,8,1,1150,0,0,2,53.0,66.8,12,446,-6
1,9,0,1200,0,0,16,55.0,1.9,1,462,0
2,9,0,1200,0,0,4,52.0,7.2,3,474,0
3,9,0,1200,0,0,5,53.0,18.6,5,442,-10
4,9,0,1200,0,0,8,52.0,70.4,14,456,-10
5,9,0,1200,0,0,3,52.0,50.7,12,474,20
6,9,0,1200,0,0,9,55.0,9.0,4,450,10
7,9,0,1200,0,0,12,55.0,62.7,13,434,-1
8,9,0,1200,0,0,2,54.0,6.3,2,480,-26
9,9,0,1200,0,0,6,55.0,47.6,11,474,-14
10,9,0,1200,0,0,15,52.0,18.6,6,426,12
11,9,0,1200,0,0,7,55.0,26.4,9,446,2
12,9,0,1200,0,0,10,52.0,24.5,8,390,2
13,9,0,1200,0,0,14,55.0,19.2,7,436,-8
14,9,0,1200,0,0,11,52.0,430.2,16,398,-2
15,9,0,1200,0,0,13,55.0,214.8,15,434,-7
16,9,0,1200,0,0,1,54.0,44.4,10,490,-4
1,10,0,2000,0,0,4,57.0,4.0,2,482,2
2,10,0,2000,0,0,15,55.0,15.2,5,448,-12
3,10,0,2000,0,0,8,57.0,3.0,1,500,-2
4,10,0,2000,0,0,10,55.0,19.4,6,438,2
5,10,0,2000,0,0,7,55.0,22.9,8,476,-4
6,10,0,2000,0,0,5,57.0,60.1,14,476,-8
7,10,0,2000,0,0,3,57.0,32.6,12,422,-4
8,10,0,2000,0,0,6,57.0,6.2,3,412,-2
9,10,0,2000,0,0,2,55.0,19.7,7,452,6
10,10,0,2000,0,0,14,55.0,148.2,15,436,-2
11,10,0,2000,0,0,1,57.0,185.4,16,456,-8
12,10,0,2000,0,0,11,57.0,25.7,10,490,-2
13,10,0,2000,0,0,16,57.0,23.2,9,462,2
14,10,0,2000,0,0,12,57.0,31.7,11,446,-4
15,10,0,2000,0,0,13,57.0,36.4,13,476,-6
16,10,0,2000,0,0,9,57.0,9.2,4,500,0
1,11,1,1700,0,0,4,54.0,7.8,5,508,-6
2,11,1,1700,0,0,8,52.0,17.8,9,432,-6
3,11,1,1700,0,0,9,54.0,5.9,2,452,2
4,11,1,1700,0,0,14,54.0,10.4,6,462,-12
5,11,1,1700,0,0,13,55.0,4.5,1,492,-12
6,11,1,1700,0,0,5,56.0,6.0,3,520,-2
7,11,1,1700,0,0,3,53.0,200.5,15,480,-4
8,11,1,1700,0,0,11,54.0,16.2,7,504,0
9,11,1,1700,0,0,15,56.0,6.3,4,484,-2
10,11,1,1700,0,0,1,54.0,32.6,12,520,2
11,11,1,1700,0,0,7,54.0,19.9,10,490,-6
12,11,1,1700,0,0,6,54.0,16.4,8,510,-2
13,11,1,1700,0,0,10,54.0,134.1,13,450,-6
14,11,1,1700,0,0,12,54.0,160.8,14,506,-16
15,11,1,1700,0,0,2,51.0,23.1,11,460,-4
1,12,0,1200,0,0,16,55.0,5.1,2,482,-4
2,12,0,1200,0,0,3,55.0,9.5,7,410,4
3,12,0,1200,0,0,1,55.0,6.4,4,508,6
4,12,0,1200,0,0,8,55.0,24.6,9,464,10
5,12,0,1200,0,0,10,57.0,7.0,5,494,2
6,12,0,1200,0,0,7,57.0,90.7,13,450,-6
7,12,0,1200,0,0,11,55.0,74.1,11,462,-10
8,12,0,1200,0,0,6,55.0,74.8,12,510,10
9,12,0,1200,0,0,9,55.0,23.6,8,468,-12
10,12,0,1200,0,0,14,57.0,4.9,1,452,-4
11,12,0,1200,0,0,5,55.0,5.6,3,508,-10
12,12,0,1200,0,0,12,57.0,71.2,10,424,-2
13,12,0,1200,0,0,13,57.0,255.4,16,490,-10
14,12,0,1200,0,0,4,55.0,8.5,6,466,-6
15,12,0,1200,0,0,15,55.0,102.8,14,464,2
1,1,1,1150,0,0,7,54.0,4.3,3,516,-4
2,1,1,1150,0,0,16,53.0,3.3,1,442,8
3,1,1,1150,0,0,11,56.0,10.3,5,486,2
4,1,1,1150,0,0,14,53.0,4.2,2,470,-6
5,1,1,1150,0,0,3,56.0,4.8,4,496,-6
6,1,1,1150,0,0,8,51.0,76.8,12,444,-14
7,1,1,1150,0,0,1,51.0,94.3,13,462,0
8,1,1,1150,0,0,4,56.0,29.0,6,432,-8
9,1,1,1150,0,0,10,51.0,30.9,7,458,-4
10,1,1,1150,0,0,5,56.0,229.2,15,494,6
11,1,1,1150,0,0,2,54.0,41.3,8,444,0
12,1,1,1150,0,0,15,56.0,73.9,11,518,-8
13,1,1,1150,0,0,12,56.0,48.1,10,508,0
14,1,1,1150,0,0,6,53.0,243.6,16,430,2
15,1,1,1150,0,0,9,51.0,42.6,9,438,0
16,1,1,1150,0,0,13,52.0,187.5,14,452,-28
1,2,0,1200,0,0,14,54.0,18.0,7,468,-6
2,2,0,1200,0,0,13,54.0,4.7,2,456,-4
3,2,0,1200,0,0,10,54.0,3.2,1,468,0
4,2,0,1200,0,0,3,53.0,41.8,9,424,-10
5,2,0,1200,0,0,2,54.0,26.0,8,424,0
6,2,0,1200,0,0,12,54.0,6.4,4,466,0
7,2,0,1200,0,0,16,54.0,9.4,5,422,10
8,2,0,1200,0,0,4,54.0,56.3,10,470,0
9,2,0,1200,0,0,6,54.0,56.7,11,446,0
10,2,0,1200,0,0,11,51.0,5.5,3,452,10
11,2,0,1200,0,0,8,54.0,96.8,14,472,0
12,2,0,1200,0,0,5,54.0,11.6,6,434,8
13,2,0,1200,0,0,1,53.0,62.6,12,444,0
14,2,0,1200,0,0,15,54.0,94.5,13,408,0
15,2,0,1200,0,0,7,53.0,123.7,15,418,0
16,2,0,1200,0,0,9,54.0,306.6,16,456,0
1,3,1,1700,0,0,8,56.0,192.8,13,536,0
2,3,1,1700,0,0,6,56.0,5.9,3,492,-2
3,3,1,1700,0,0,4,56.0,2.6,1,468,2
4,3,1,1700,0,0,7,56.0,13.7,6,426,2
5,3,1,1700,0,0,15,56.0,10.2,5,448,-4
6,3,1,1700,0,0,2,56.0,48.8,9,434,-12
7,3,1,1700,0,0,5,53.0,4.1,2,502,-10
8,3,1,1700,0,0,12,53.0,18.1,7,438,-8
9,3,1,1700,0,0,13,52.0,79.3,11,448,8
10,3,1,1700,0,0,1,56.0,90.2,12,502,0
11,3,1,1700,0,0,10,54.0,77.5,10,454,0
12,3,1,1700,0,0,9,54.0,438.2,15,468,-2
13,3,1,1700,0,0,14,53.0,217.0,14,434,-8
14,3,1,1700,0,0,3,56.0,29.5,8,524,-4
15,3,1,1700,0,0,11,56.0,7.2,4,476,0
1,4,0,1800,0,0,2,56.0,2.7,1,438,0
2,4,0,1800,0,0,13,53.0,11.6,7,464,12
3,4,0,1800,0,0,5,54.0,11.3,6,454,-4
4,4,0,1800,0,0,8,53.0,7.0,3,484,0
5,4,0,1800,0,0,6,56.0,8.2,4,442,-8
6,4,0,1800,0,0,15,56.0,5.4,2,460,-8
7,4,0,1800,0,0,11,54.0,216.7,15,434,-6
8,4,0,1800,0,0,14,56.0,24.4,8,496,16
9,4,0,1800,0,0,4,56.0,26.9,10,444,6
10,4,0,1800,0,0,16,54.0,24.7,9,422,-6
11,4,0,1800,0,0,1,51.0,47.8,11,448,-4
12,4,0,1800,0,0,10,56.0,70.0,12,474,0
13,4,0,1800,0,0,9,56.0,11.1,5,526,0
14,4,0,1800,0,0,3,51.0,170.5,14,478,0
15,4,0,1800,0,0,7,53.0,404.5,16,416,-20
16,4,0,1800,0,0,12,55.0,142.4,13,524,0
1,5,0,1200,0,0,11,56.0,3.4,2,452,-4
2,5,0,1200,0,0,16,56.0,9.3,4,460,4
3,5,0,1200,0,0,2,56.0,16.1,8,466,6
4,5,0,1200,0,0,12,51.0,10.0,5,460,-8
5,5,0,1200,0,0,7,53.0,68.5,11,440,-10
6,5,0,1200,0,0,8,54.0,48.2,10,424,-6
7,5,0,1200,0,0,4,54.0,158.3,14,446,-8
8,5,0,1200,0,0,15,54.0,18.8,9,446,2
9,5,0,1200,0,0,6,55.0,94.4,12,440,14
10,5,0,1200,0,0,5,54.0,3.2,1,450,-6
11,5,0,1200,0,0,10,54.0,15.4,7,488,-2
12,5,0,1200,0,0,3,51.0,8.4,3,418,-10
13,5,0,1200,0,0,1,51.0,149.5,13,420,-24
14,5,0,1200,0,0,13,51.0,13.0,6,394,-10
15,5,0,1200,0,0,14,53.0,203.4,15,366,-6
16,5,0,1200,0,0,9,56.0,278.6,16,418,-12
1,6,0,2000,0,0,5,53.0,9.9,4,470,-6
2,6,0,2000,0,0,10,53.0,2.4,1,508,0
3,6,0,2000,0,0,13,51.0,10.7,5,450,2
4,6,0,2000,0,0,14,51.0,6.7,3,438,-2
5,6,0,2000,0,0,11,53.0,12.9,6,478,-4
6,6,0,2000,0,0,4,56.0,24.7,8,482,0
7,6,0,2000,0,0,9,55.0,4.5,2,444,-4
8,6,0,2000,0,0,15,55.0,28.4,10,448,-14
9,6,0,2000,0,0,7,53.0,70.2,12,444,-14
10,6,0,2000,0,0,16,53.0,273.5,16,378,-14
11,6,0,2000,0,0,1,53.0,23.7,7,418,-2
12,6,0,2000,0,0,3,54.0,247.3,15,446,-6
13,6,0,2000,0,0,6,53.0,232.7,14,454,-10
14,6,0,2000,0,0,2,54.0,27.7,9,424,-8
15,6,0,2000,0,0,8,54.0,64.8,11,458,0
16,6,0,2000,0,0,12,56.0,232.3,13,518,0
1,7,1,1700,0,0,14,52.0,10.7,7,434,-2
2,7,1,1700,0,0,2,55.0,6.2,4,538,8
3,7,1,1700,0,0,5,55.0,36.2,9,446,0
4,7,1,1700,0,0,7,55.0,5.6,3,464,-4
5,7,1,1700,0,0,12,52.0,8.6,5,434,-10
6,7,1,1700,0,0,11,55.0,9.5,6,488,-4
7,7,1,1700,0,0,9,55.0,5.4,2,500,-2
8,7,1,1700,0,0,13,52.0,75.3,10,484,2
9,7,1,1700,0,0,1,54.0,114.0,11,482,-2
10,7,1,1700,0,0,8,52.0,184.3,13,466,-18
11,7,1,1700,0,0,6,55.0,178.0,12,486,2
12,7,1,1700,0,0,15,55.0,3.4,1,488,4
13,7,1,1700,0,0,4,55.0,249.4,14,412,-4
14,7,1,1700,0,0,3,55.0,17.9,8,468,-6
15,7,1,1700,0,0,10,55.0,284.9,15,512,-2
1,8,0,1200,0,0,1,55.0,8.2,4,440,4
2,8,0,1200,0,0,4,57.0,4.5,2,456,-8
3,8,0,1200,0,0,2,55.0,4.5,1,422,-8
4,8,0,1200,0,0,11,55.0,13.3,6,458,0
5,8,0,1200,0,0,8,55.0,15.7,8,460,2
6,8,0,1200,0,0,9,54.0,96.3,14,500,-8
7,8,0,1200,0,0,16,55.0,21.4,10,486,-18
8,8,0,1200,0,0,12,52.0,14.4,7,430,-14
9,8,0,1200,0,0,10,54.0,28.8,12,436,-12
10,8,0,1200,0,0,14,57.0,11.9,5,450,-3
11,8,0,1200,0,0,5,56.0,68.5,13,492,2
12,8,0,1200,0,0,15,55.0,148.6,16,438,2
13,8,0,1200,0,0,13,52.0,22.5,11,404,-12
14,8,0,1200,0,0,7,55.0,18.6,9,392,-12
15,8,0,1200,0,0,3,52.0,126.7,15,456,22
1,9,1,1700,0,0,3,57.0,5.1,2,490,4
2,9,1,1700,0,0,5,57.0,13.5,6,474,-12
3,9,1,1700,0,0,2,57.0,22.4,7,478,0
4,9,1,1700,0,0,9,57.0,5.6,3,530,0
5,9,1,1700,0,0,1,56.0,24.2,8,482,-16
6,9,1,1700,0,0,8,54.0,77.7,14,496,0
7,9,1,1700,0,0,7,57.0,12.3,5,512,-6
8,9,1,1700,0,0,12,57.0,39.9,11,464,0
9,9,1,1700,0,0,15,57.0,5.6,4,508,10
10,9,1,1700,0,0,4,57.0,26.6,10,482,0
11,9,1,1700,0,0,11,57.0,3.2,1,524,-8
12,9,1,1700,0,0,10,57.0,90.3,15,446,-12
13,9,1,1700,0,0,6,57.0,65.9,12,490,0
14,9,1,1700,0,0,14,54.0,24.6,9,456,-7
15,9,1,1700,0,0,13,55.0,72.2,13,456,-12
1,10,0,1200,0,0,8,56.0,1.9,1,466,-10
2,10,0,1200,0,0,10,56.0,48.3,10,450,2
3,10,0,1200,0,0,2,54.0,78.2,14,492,0
4,10,0,1200,0,0,13,54.0,4.9,2,470,2
5,10,0,1200,0,0,12,54.0,40.3,9,428,0
6,10,0,1200,0,0,7,54.0,53.7,12,468,2
7,10,0,1200,0,0,4,56.0,53.2,11,508,-2
8,10,0,1200,0,0,5,56.0,217.4,16,408,2
9,10,0,1200,0,0,6,54.0,61.6,13,460,-4
10,10,0,1200,0,0,11,54.0,8.3,3,486,-2
11,10,0,1200,0,0,15,54.0,21.6,6,448,-4
12,10,0,1200,0,0,16,56.0,35.4,8,442,-6
13,10,0,1200,0,0,1,56.0,111.3,15,490,-2
14,10,0,1200,0,0,9,56.0,13.9,5,456,-6
